Position,,,,,,,,Intensity Mean Ch=3 Img=1,Intensity Mean Ch=2 Img=1
 ==================== ,,,,,,,, ==================== , ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,VENUS Intensity Mean,KEIMA Intensity Mean
67.9179,75.6492,26.791,um,Spot,Position,1,587,1186.93,1134.56
82.315,74.0908,27.002,um,Spot,Position,1,588,1677.89,1637.54
61.3281,71.6822,27.417,um,Spot,Position,1,589,1164.5,1170.97
72.5305,65.4506,28.7553,um,Spot,Position,1,590,3173.66,1916.18
95.3891,82.0311,24.765,um,Spot,Position,1,592,940.642,1619.93
112.974,86.395,24.9496,um,Spot,Position,1,593,35.6021,1166.06
92.8751,70.7753,25.4593,um,Spot,Position,1,594,337.41,1193.37
112.208,66.5135,27.0793,um,Spot,Position,1,595,104.071,1446.08
109.448,77.6095,26.8892,um,Spot,Position,1,596,83.2796,1442.91
100.137,80.6559,26.9246,um,Spot,Position,1,597,212.732,1471.42
88.1656,87.6146,27.3301,um,Spot,Position,1,598,121.914,1236.57
109.244,72.4671,27.5099,um,Spot,Position,1,599,416.846,1117.21
88.7199,78.0746,27.3954,um,Spot,Position,1,600,53.6171,1531.35
96.152,74.8709,29.1615,um,Spot,Position,1,601,291.633,1439.85
93.6407,68.0477,30.2297,um,Spot,Position,1,602,1881.35,1690.74
87.3121,68.1099,30.2828,um,Spot,Position,1,603,949.598,1369.21
106.045,68.7533,30.4185,um,Spot,Position,1,604,174.901,1580.08
101.047,75.92,30.2805,um,Spot,Position,1,605,103.336,1682.12
116.244,79.3708,23.1766,um,Spot,Position,1,607,134.587,1581.27
117.208,68.6599,25.6978,um,Spot,Position,1,610,31.2247,1119.66
83.0567,54.6927,30.8287,um,Spot,Position,1,624,1298.99,1482.92
82.6914,62.6748,30.7584,um,Spot,Position,1,625,1076.04,1532.32
100.772,58.2229,30.7805,um,Spot,Position,1,630,144.563,1471.84
101.246,68.8414,30.7971,um,Spot,Position,1,640,77.6921,1579.22
117.261,77.0272,31.846,um,Spot,Position,1,645,576.476,1023.55
117.924,66.6388,14.16,um,Spot,Position,1,55413,54.8529,1235.56
120.891,68.7853,14.64,um,Spot,Position,1,55414,98.2251,1127.13
124.66,71.6076,24.24,um,Spot,Position,1,55415,85.3793,1327.01
119.307,73.0065,21.84,um,Spot,Position,1,55416,33.0397,890.634
126.038,62.7679,12.72,um,Spot,Position,1,55417,42.6144,1054.37
123.744,66.46,15.6,um,Spot,Position,1,55418,148.243,948.12
125.006,67.1421,21.36,um,Spot,Position,1,55420,41.0361,1066.44
124.265,77.8284,23.76,um,Spot,Position,1,55421,106.52,1243.86
119.35,78.4412,24.72,um,Spot,Position,1,55422,69.4374,1284.07
127.242,71.4428,18.96,um,Spot,Position,1,55423,75.2199,1276.76
128.841,77.4248,24.24,um,Spot,Position,1,55424,310.303,1333.34
130.023,82.808,21.84,um,Spot,Position,1,55425,541.915,1174.37
129.575,83.8827,16.1339,um,Spot,Position,1,55426,148.86,1366.76
124.88,85.4423,17.4727,um,Spot,Position,1,55427,31.7114,1626.16
120.468,84.3283,18.5764,um,Spot,Position,1,55429,124.05,1191.57
123.373,86.1107,23.7253,um,Spot,Position,1,55430,51.4021,1361.28
134.927,82.6635,19.44,um,Spot,Position,1,55431,754.945,1013.6
136.128,76.9463,18.96,um,Spot,Position,1,55432,56.5789,1535.01
129.277,62.0292,20.88,um,Spot,Position,1,55433,45.7245,1117.14
133.231,64.9226,20.88,um,Spot,Position,1,55434,28.8576,1181.55
131.51,72.8961,13.2,um,Spot,Position,1,55435,30.2835,1047.4
131.438,72.3943,22.8,um,Spot,Position,1,55436,94.8164,1046.97
133.964,86.5563,16.8573,um,Spot,Position,1,55437,145.397,1307.05
114.444,96.5426,13.68,um,Spot,Position,1,55438,36.6554,1550.19
118.144,93.9225,18.48,um,Spot,Position,1,55439,65.819,1484.12
122.978,89.003,16.56,um,Spot,Position,1,55440,51.753,1716.8
121.692,91.4578,12.2727,um,Spot,Position,1,55441,30.822,1340.79
125.409,96.6331,14.64,um,Spot,Position,1,55442,32.4458,1514.43
130.544,90.7894,4.52,um,Spot,Position,1,55444,34.638,1763
119.358,101.261,8.4,um,Spot,Position,1,55445,44.4556,1336.4
97.8122,95.2436,12.24,um,Spot,Position,1,55446,33.322,1376.78
104.603,93.8537,2.64,um,Spot,Position,1,55447,31.8644,2005.79
110.73,93.2512,1.2,um,Spot,Position,1,55449,33.7632,1593.04
91.8934,94.8214,12.24,um,Spot,Position,1,55450,41.1774,1013.36
78.9866,95.3227,6.96,um,Spot,Position,1,55452,31.4575,1591.74
82.9361,92.5254,14.64,um,Spot,Position,1,55453,31.4719,1106.33
69.6279,94.2749,5.52,um,Spot,Position,1,55454,46.602,1104.1
129.592,99.1076,8.88,um,Spot,Position,1,55455,26.5162,1171.25
123.01,99.2884,4.56,um,Spot,Position,1,55456,29.2803,1384.42
136.367,98.4493,6.48,um,Spot,Position,1,55458,37.7316,1805.9
135.967,68.0767,20.88,um,Spot,Position,1,55459,31.1092,1695.99
133.113,55.0563,17.52,um,Spot,Position,1,55460,23.8906,1347.24
123.236,45.5856,11.28,um,Spot,Position,1,55461,26.4799,1165.84
119.323,41.7425,17.04,um,Spot,Position,1,55462,41.9575,1457.03
121.965,36.1006,7.92,um,Spot,Position,1,55464,23.38,1183.65
125.768,34.6318,15.12,um,Spot,Position,1,55465,25.2062,1199.26
129.287,41.7624,15.12,um,Spot,Position,1,55466,43.5361,1137.16
135.572,35.4358,16.1031,um,Spot,Position,1,55468,25.9431,1497.69
136.569,44.1572,20.4,um,Spot,Position,1,55469,29.5166,1043.36
122.514,52.4685,14.6562,um,Spot,Position,1,55470,31.5808,1280.26
126.003,49.7949,13.755,um,Spot,Position,1,55471,32.6817,1186.07
129.53,49.3493,8.54698,um,Spot,Position,1,55472,32.0168,1062.82
126.69,50.4633,20.1801,um,Spot,Position,1,55474,30.3262,998.506
121.311,51.3545,22.9656,um,Spot,Position,1,55475,27.9616,1085.67
123.043,57.5928,24.0097,um,Spot,Position,1,55476,29.5654,1141.13
