
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
550.436,,Spot,2,Image 1,1,55481,
562.738,,Spot,2,Image 1,1,55482,
551.769,,Spot,2,Image 1,1,55483,
555.227,,Spot,2,Image 1,1,55484,
415.49,,Spot,2,Image 1,1,55485,
579.971,,Spot,2,Image 1,1,55486,
542.572,,Spot,2,Image 1,1,55487,
497.941,,Spot,2,Image 1,1,55488,
588.489,,Spot,2,Image 1,1,55491,
667.608,,Spot,2,Image 1,1,55492,
629.119,,Spot,2,Image 1,1,55493,
610.522,,Spot,2,Image 1,1,55494,
537.431,,Spot,2,Image 1,1,55495,
576.082,,Spot,2,Image 1,1,55496,
574.785,,Spot,2,Image 1,1,55497,
517.433,,Spot,2,Image 1,1,55498,
529.282,,Spot,2,Image 1,1,55499,
583.786,,Spot,2,Image 1,1,55500,
540.874,,Spot,2,Image 1,1,55501,
533.704,,Spot,2,Image 1,1,55502,
496.616,,Spot,2,Image 1,1,55503,
533.11,,Spot,2,Image 1,1,55505,
497.4,,Spot,2,Image 1,1,55506,
529.138,,Spot,2,Image 1,1,55507,
485.669,,Spot,2,Image 1,1,55508,
560.382,,Spot,2,Image 1,1,55509,
500.385,,Spot,2,Image 1,1,55511,
549.369,,Spot,2,Image 1,1,55512,
544.025,,Spot,2,Image 1,1,55513,
567.977,,Spot,2,Image 1,1,55514,
504.168,,Spot,2,Image 1,1,55515,
504.188,,Spot,2,Image 1,1,55517,
518.292,,Spot,2,Image 1,1,55519,
496.335,,Spot,2,Image 1,1,55520,
543.142,,Spot,2,Image 1,1,55521,
518.129,,Spot,2,Image 1,1,55524,
540.299,,Spot,2,Image 1,1,55525,
444.479,,Spot,2,Image 1,1,55526,
551.845,,Spot,2,Image 1,1,55528,
560.442,,Spot,2,Image 1,1,55529,
573.628,,Spot,2,Image 1,1,55532,
575.126,,Spot,2,Image 1,1,55533,
418.003,,Spot,2,Image 1,1,55534,
585.663,,Spot,2,Image 1,1,55535,
512.6,,Spot,2,Image 1,1,55536,
486.566,,Spot,2,Image 1,1,55537,
443.567,,Spot,2,Image 1,1,55538,
423.692,,Spot,2,Image 1,1,55539,
442.866,,Spot,2,Image 1,1,55540,
