
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.03164e+08,,Spot,4,Image 1,1,55464,
1.88277e+07,,Spot,4,Image 1,1,55465,
1.24102e+08,,Spot,4,Image 1,1,55466,
331719,,Spot,4,Image 1,1,55468,
7.12666e+08,,Spot,4,Image 1,1,55469,
1.37531e+08,,Spot,4,Image 1,1,55470,
7.98818e+08,,Spot,4,Image 1,1,55471,
2.37247e+08,,Spot,4,Image 1,1,55472,
2.68484e+08,,Spot,4,Image 1,1,55474,
5.6201e+07,,Spot,4,Image 1,1,55475,
3.86397e+08,,Spot,4,Image 1,1,55476,
2.55871e+08,,Spot,4,Image 1,1,55477,
2.96565e+08,,Spot,4,Image 1,1,55478,
1.32273e+08,,Spot,4,Image 1,1,55479,
3.08384e+07,,Spot,4,Image 1,1,55480,
3.7591e+08,,Spot,4,Image 1,1,55481,
7.30161e+08,,Spot,4,Image 1,1,55482,
1.1802e+08,,Spot,4,Image 1,1,55483,
5.0902e+07,,Spot,4,Image 1,1,55484,
6.40663e+08,,Spot,4,Image 1,1,55485,
7.83504e+08,,Spot,4,Image 1,1,55486,
9.87141e+08,,Spot,4,Image 1,1,55487,
3.48798e+08,,Spot,4,Image 1,1,55488,
2.57794e+08,,Spot,4,Image 1,1,55491,
1.30981e+07,,Spot,4,Image 1,1,55492,
2.94543e+09,,Spot,4,Image 1,1,55493,
1.07202e+09,,Spot,4,Image 1,1,55494,
1.86006e+08,,Spot,4,Image 1,1,55495,
1.23194e+08,,Spot,4,Image 1,1,55496,
7.05756e+08,,Spot,4,Image 1,1,55497,
2.50744e+08,,Spot,4,Image 1,1,55498,
5.4179e+08,,Spot,4,Image 1,1,55499,
3.39947e+07,,Spot,4,Image 1,1,55500,
2.58463e+08,,Spot,4,Image 1,1,55501,
1.48134e+08,,Spot,4,Image 1,1,55502,
1.49576e+08,,Spot,4,Image 1,1,55503,
2.16537e+08,,Spot,4,Image 1,1,55505,
1.24562e+08,,Spot,4,Image 1,1,55506,
4.26585e+07,,Spot,4,Image 1,1,55507,
6.37816e+07,,Spot,4,Image 1,1,55508,
8.04153e+07,,Spot,4,Image 1,1,55509,
2.47077e+08,,Spot,4,Image 1,1,55511,
4.07546e+08,,Spot,4,Image 1,1,55512,
3.90697e+08,,Spot,4,Image 1,1,55513,
3.66024e+08,,Spot,4,Image 1,1,55514,
3.49724e+08,,Spot,4,Image 1,1,55515,
3.83815e+08,,Spot,4,Image 1,1,55517,
7.70957e+08,,Spot,4,Image 1,1,55519,
2.16622e+07,,Spot,4,Image 1,1,55520,
3.30632e+08,,Spot,4,Image 1,1,55521,
5.99512e+08,,Spot,4,Image 1,1,55524,
5.91449e+08,,Spot,4,Image 1,1,55525,
1.99008e+07,,Spot,4,Image 1,1,55526,
3.19178e+08,,Spot,4,Image 1,1,55528,
5.32997e+08,,Spot,4,Image 1,1,55529,
2.3957e+08,,Spot,4,Image 1,1,55532,
1.01085e+09,,Spot,4,Image 1,1,55533,
1.17243e+09,,Spot,4,Image 1,1,55534,
4.10495e+08,,Spot,4,Image 1,1,55535,
2.02637e+08,,Spot,4,Image 1,1,55536,
2.65203e+08,,Spot,4,Image 1,1,55537,
4.45642e+07,,Spot,4,Image 1,1,55538,
1.80256e+07,,Spot,4,Image 1,1,55539,
9.74638e+07,,Spot,4,Image 1,1,55540,
2.07522e+08,,Spot,4,Image 1,1,55541,
2.95023e+08,,Spot,4,Image 1,1,55542,
4.64081e+07,,Spot,4,Image 1,1,55543,
1.48639e+08,,Spot,4,Image 1,1,55544,
2.28959e+08,,Spot,4,Image 1,1,55545,
2.93039e+07,,Spot,4,Image 1,1,55546,
3.75977e+08,,Spot,4,Image 1,1,55548,
6.47696e+08,,Spot,4,Image 1,1,55549,
7.70718e+08,,Spot,4,Image 1,1,55550,
5.28617e+08,,Spot,4,Image 1,1,55551,
1.06831e+08,,Spot,4,Image 1,1,55552,
3.34743e+08,,Spot,4,Image 1,1,55553,
5.84504e+08,,Spot,4,Image 1,1,55554,
4.78658e+08,,Spot,4,Image 1,1,55555,
2.04632e+08,,Spot,4,Image 1,1,55556,
8.2969e+08,,Spot,4,Image 1,1,55557,
1.43653e+08,,Spot,4,Image 1,1,55558,
5.92672e+08,,Spot,4,Image 1,1,55559,
5.22676e+08,,Spot,4,Image 1,1,55560,
7.19707e+08,,Spot,4,Image 1,1,55561,
2.90149e+08,,Spot,4,Image 1,1,55562,
3.03682e+07,,Spot,4,Image 1,1,55563,
5.09257e+08,,Spot,4,Image 1,1,55564,
6.83201e+08,,Spot,4,Image 1,1,55565,
2.11102e+08,,Spot,4,Image 1,1,55566,
9.02078e+07,,Spot,4,Image 1,1,55568,
8.79845e+07,,Spot,4,Image 1,1,55569,
4.46914e+08,,Spot,4,Image 1,1,55570,
2.09261e+08,,Spot,4,Image 1,1,55571,
2.70899e+08,,Spot,4,Image 1,1,55572,
3.18343e+08,,Spot,4,Image 1,1,55573,
1.51683e+08,,Spot,4,Image 1,1,55574,
1.83802e+08,,Spot,4,Image 1,1,55576,
3.11183e+08,,Spot,4,Image 1,1,55577,
1.91039e+07,,Spot,4,Image 1,1,55578,
2.54075e+08,,Spot,4,Image 1,1,55579,
2.97757e+07,,Spot,4,Image 1,1,55580,
9.53541e+07,,Spot,4,Image 1,1,55581,
1.36199e+08,,Spot,4,Image 1,1,55582,
2.10149e+08,,Spot,4,Image 1,2,55583,
1.28424e+08,,Spot,4,Image 1,2,55584,
2.89017e+08,,Spot,4,Image 1,2,55585,
1.21354e+08,,Spot,4,Image 1,2,55586,
3.1719e+07,,Spot,4,Image 1,2,55587,
1.09663e+08,,Spot,4,Image 1,2,55588,
1.18244e+08,,Spot,4,Image 1,2,55589,
8.55632e+08,,Spot,4,Image 1,2,55590,
2.48548e+08,,Spot,4,Image 1,2,55591,
1.46237e+08,,Spot,4,Image 1,2,55592,
1.39845e+08,,Spot,4,Image 1,2,55593,
6.39307e+07,,Spot,4,Image 1,2,55594,
5.70969e+07,,Spot,4,Image 1,2,55595,
6.01506e+07,,Spot,4,Image 1,2,55596,
1.81876e+08,,Spot,4,Image 1,2,55597,
2.21538e+08,,Spot,4,Image 1,2,55598,
1.01738e+08,,Spot,4,Image 1,2,55599,
1.27897e+08,,Spot,4,Image 1,2,55600,
1.56339e+07,,Spot,4,Image 1,2,55601,
6.27858e+08,,Spot,4,Image 1,2,55602,
1.16347e+08,,Spot,4,Image 1,2,55603,
1.93728e+07,,Spot,4,Image 1,2,55604,
