
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
1563,,Spot,Image 1,2,55656,
1573,,Spot,Image 1,2,55657,
1565,,Spot,Image 1,2,55658,
1573,,Spot,Image 1,2,55659,
1565,,Spot,Image 1,2,55660,
1568,,Spot,Image 1,2,55661,
2431,,Spot,Image 1,2,55662,
2458,,Spot,Image 1,2,55663,
2668,,Spot,Image 1,2,55664,
2752,,Spot,Image 1,2,55665,
2737,,Spot,Image 1,2,55666,
2747,,Spot,Image 1,2,55667,
2750,,Spot,Image 1,2,55668,
2741,,Spot,Image 1,2,55669,
2743,,Spot,Image 1,2,55670,
1570,,Spot,Image 1,2,55671,
1566,,Spot,Image 1,2,55672,
1573,,Spot,Image 1,2,55673,
1576,,Spot,Image 1,2,55674,
2659,,Spot,Image 1,2,55675,
2654,,Spot,Image 1,2,55676,
2747,,Spot,Image 1,2,55677,
2743,,Spot,Image 1,2,55678,
2745,,Spot,Image 1,2,55679,
2747,,Spot,Image 1,2,55680,
2744,,Spot,Image 1,2,55681,
2748,,Spot,Image 1,2,55682,
2754,,Spot,Image 1,2,55683,
2743,,Spot,Image 1,2,55684,
1575,,Spot,Image 1,2,55685,
2652,,Spot,Image 1,2,55686,
2753,,Spot,Image 1,2,55687,
2741,,Spot,Image 1,2,55688,
2742,,Spot,Image 1,2,55689,
2753,,Spot,Image 1,2,55690,
2743,,Spot,Image 1,2,55691,
2753,,Spot,Image 1,2,55692,
2745,,Spot,Image 1,2,55693,
2739,,Spot,Image 1,2,55694,
2739,,Spot,Image 1,2,55695,
2752,,Spot,Image 1,2,55696,
2746,,Spot,Image 1,2,55697,
2753,,Spot,Image 1,2,55698,
2752,,Spot,Image 1,2,55699,
2746,,Spot,Image 1,2,55700,
2760,,Spot,Image 1,2,55701,
2750,,Spot,Image 1,2,55702,
2740,,Spot,Image 1,2,55703,
2749,,Spot,Image 1,2,55704,
2750,,Spot,Image 1,2,55705,
2738,,Spot,Image 1,2,55706,
2743,,Spot,Image 1,2,55707,
2747,,Spot,Image 1,2,55708,
2738,,Spot,Image 1,2,55709,
2751,,Spot,Image 1,2,55710,
2741,,Spot,Image 1,2,55711,
2748,,Spot,Image 1,2,55712,
2748,,Spot,Image 1,2,55713,
2742,,Spot,Image 1,2,55714,
2756,,Spot,Image 1,2,55715,
2753,,Spot,Image 1,2,55716,
2749,,Spot,Image 1,2,55717,
2751,,Spot,Image 1,2,55718,
2750,,Spot,Image 1,2,55719,
2748,,Spot,Image 1,2,55720,
2734,,Spot,Image 1,2,55721,
2745,,Spot,Image 1,2,55722,
2747,,Spot,Image 1,2,55723,
2753,,Spot,Image 1,2,55724,
2748,,Spot,Image 1,2,55725,
2751,,Spot,Image 1,2,55726,
2748,,Spot,Image 1,2,55727,
2743,,Spot,Image 1,2,55728,
2751,,Spot,Image 1,2,55729,
2748,,Spot,Image 1,2,55730,
2754,,Spot,Image 1,2,55731,
2749,,Spot,Image 1,2,55732,
2747,,Spot,Image 1,2,55733,
2735,,Spot,Image 1,2,55734,
2742,,Spot,Image 1,2,55735,
2750,,Spot,Image 1,2,55736,
2735,,Spot,Image 1,2,55737,
2752,,Spot,Image 1,2,55738,
2745,,Spot,Image 1,2,55739,
2750,,Spot,Image 1,2,55740,
2743,,Spot,Image 1,2,55741,
2760,,Spot,Image 1,2,55742,
2746,,Spot,Image 1,2,55743,
2748,,Spot,Image 1,2,55744,
2739,,Spot,Image 1,2,55745,
2741,,Spot,Image 1,2,55746,
2749,,Spot,Image 1,2,55747,
2747,,Spot,Image 1,2,55748,
2738,,Spot,Image 1,2,55749,
2750,,Spot,Image 1,2,55750,
2746,,Spot,Image 1,2,55751,
2745,,Spot,Image 1,2,55752,
2744,,Spot,Image 1,2,55753,
2746,,Spot,Image 1,2,55754,
2739,,Spot,Image 1,2,55755,
2752,,Spot,Image 1,2,55756,
2743,,Spot,Image 1,2,55757,
2743,,Spot,Image 1,2,55758,
2742,,Spot,Image 1,2,55759,
2750,,Spot,Image 1,2,55760,
2752,,Spot,Image 1,2,55761,
2738,,Spot,Image 1,2,55762,
2743,,Spot,Image 1,2,55763,
2743,,Spot,Image 1,2,55764,
2753,,Spot,Image 1,2,55765,
2749,,Spot,Image 1,2,55766,
2755,,Spot,Image 1,2,55767,
2741,,Spot,Image 1,2,55768,
2742,,Spot,Image 1,2,55769,
2747,,Spot,Image 1,2,55770,
2750,,Spot,Image 1,2,55771,
2748,,Spot,Image 1,2,55772,
2745,,Spot,Image 1,2,55773,
2745,,Spot,Image 1,2,55774,
2755,,Spot,Image 1,2,55775,
2752,,Spot,Image 1,2,55776,
2738,,Spot,Image 1,2,55777,
2749,,Spot,Image 1,2,55778,
2736,,Spot,Image 1,2,55779,
2751,,Spot,Image 1,2,55780,
2743,,Spot,Image 1,2,55781,
2762,,Spot,Image 1,2,55782,
2748,,Spot,Image 1,2,55783,
2740,,Spot,Image 1,2,55784,
2745,,Spot,Image 1,2,55785,
2744,,Spot,Image 1,2,55786,
2734,,Spot,Image 1,2,55787,
2743,,Spot,Image 1,2,55788,
2749,,Spot,Image 1,2,55789,
2735,,Spot,Image 1,2,55790,
2743,,Spot,Image 1,2,55791,
2759,,Spot,Image 1,2,55792,
2732,,Spot,Image 1,2,55793,
2744,,Spot,Image 1,2,55794,
2751,,Spot,Image 1,2,55795,
2756,,Spot,Image 1,2,55796,
2741,,Spot,Image 1,2,55797,
2749,,Spot,Image 1,2,55798,
2749,,Spot,Image 1,2,55799,
2748,,Spot,Image 1,2,55800,
2749,,Spot,Image 1,2,55801,
2753,,Spot,Image 1,2,55802,
2745,,Spot,Image 1,2,55803,
2745,,Spot,Image 1,2,55804,
2750,,Spot,Image 1,2,55805,
2749,,Spot,Image 1,2,55806,
2747,,Spot,Image 1,2,55807,
2734,,Spot,Image 1,2,55808,
2751,,Spot,Image 1,2,55809,
2750,,Spot,Image 1,2,55810,
2741,,Spot,Image 1,2,55811,
2740,,Spot,Image 1,2,55812,
2741,,Spot,Image 1,2,55813,
2754,,Spot,Image 1,2,55814,
2748,,Spot,Image 1,2,55815,
2746,,Spot,Image 1,2,55816,
2742,,Spot,Image 1,2,55817,
2748,,Spot,Image 1,2,55818,
2750,,Spot,Image 1,2,55819,
2772,,Spot,Image 1,2,55820,
2749,,Spot,Image 1,2,55821,
2746,,Spot,Image 1,2,55822,
2749,,Spot,Image 1,2,55823,
2748,,Spot,Image 1,2,55824,
2743,,Spot,Image 1,2,55825,
2753,,Spot,Image 1,2,55826,
2735,,Spot,Image 1,2,55827,
2749,,Spot,Image 1,2,55828,
2755,,Spot,Image 1,2,55829,
2763,,Spot,Image 1,2,55830,
2753,,Spot,Image 1,2,55831,
2756,,Spot,Image 1,2,55832,
2744,,Spot,Image 1,2,55833,
2746,,Spot,Image 1,2,55834,
2747,,Spot,Image 1,2,55835,
2750,,Spot,Image 1,2,55836,
2748,,Spot,Image 1,2,55837,
