
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
37.4919,um,Spot,Image 1,1,55513,
33.449,um,Spot,Image 1,1,55514,
36.5718,um,Spot,Image 1,1,55515,
1.99878,um,Spot,Image 1,1,55517,
17.2175,um,Spot,Image 1,1,55519,
5.63206,um,Spot,Image 1,1,55520,
32.0766,um,Spot,Image 1,1,55521,
14.7667,um,Spot,Image 1,1,55524,
14.8294,um,Spot,Image 1,1,55525,
5.79861,um,Spot,Image 1,1,55526,
30.0976,um,Spot,Image 1,1,55528,
43.7302,um,Spot,Image 1,1,55529,
35.2541,um,Spot,Image 1,1,55532,
43.5056,um,Spot,Image 1,1,55533,
23.1131,um,Spot,Image 1,1,55534,
39.2742,um,Spot,Image 1,1,55535,
20.2212,um,Spot,Image 1,1,55536,
14.3211,um,Spot,Image 1,1,55537,
24.7925,um,Spot,Image 1,1,55538,
37.0463,um,Spot,Image 1,1,55539,
33.7044,um,Spot,Image 1,1,55540,
32.8132,um,Spot,Image 1,1,55541,
43.0618,um,Spot,Image 1,1,55542,
38.6059,um,Spot,Image 1,1,55543,
39.9426,um,Spot,Image 1,1,55544,
27.0205,um,Spot,Image 1,1,55545,
45.7699,um,Spot,Image 1,1,55546,
32.1448,um,Spot,Image 1,1,55548,
36.6007,um,Spot,Image 1,1,55549,
31.9282,um,Spot,Image 1,1,55550,
46.4821,um,Spot,Image 1,1,55551,
47.7405,um,Spot,Image 1,1,55552,
41.9478,um,Spot,Image 1,1,55553,
29.8373,um,Spot,Image 1,1,55554,
43.0181,um,Spot,Image 1,1,55555,
37.2691,um,Spot,Image 1,1,55556,
44.7996,um,Spot,Image 1,1,55557,
37.4919,um,Spot,Image 1,1,55558,
32.0639,um,Spot,Image 1,1,55559,
35.7095,um,Spot,Image 1,1,55560,
30.3624,um,Spot,Image 1,1,55561,
41.0566,um,Spot,Image 1,1,55562,
28.0125,um,Spot,Image 1,1,55563,
48.4082,um,Spot,Image 1,1,55564,
33.4816,um,Spot,Image 1,1,55565,
31.2536,um,Spot,Image 1,1,55566,
38.8822,um,Spot,Image 1,1,55568,
47.5177,um,Spot,Image 1,1,55569,
33.2588,um,Spot,Image 1,1,55570,
26.1288,um,Spot,Image 1,1,55571,
32.5298,um,Spot,Image 1,1,55572,
38.2105,um,Spot,Image 1,1,55573,
45.2897,um,Spot,Image 1,1,55574,
45.8934,um,Spot,Image 1,1,55576,
37.2691,um,Spot,Image 1,1,55577,
41.5022,um,Spot,Image 1,1,55578,
30.1892,um,Spot,Image 1,1,55579,
43.0618,um,Spot,Image 1,1,55580,
43.0618,um,Spot,Image 1,1,55581,
43.2847,um,Spot,Image 1,1,55582,
18.6471,um,Spot,Image 1,2,55583,
23.4187,um,Spot,Image 1,2,55584,
23.9168,um,Spot,Image 1,2,55585,
20.6298,um,Spot,Image 1,2,55586,
25.8528,um,Spot,Image 1,2,55587,
23.689,um,Spot,Image 1,2,55588,
20.2989,um,Spot,Image 1,2,55589,
18.1409,um,Spot,Image 1,2,55590,
25.301,um,Spot,Image 1,2,55591,
18.4359,um,Spot,Image 1,2,55592,
18.2187,um,Spot,Image 1,2,55593,
19.1586,um,Spot,Image 1,2,55594,
20.4531,um,Spot,Image 1,2,55595,
19.7239,um,Spot,Image 1,2,55596,
23.4117,um,Spot,Image 1,2,55597,
17.8832,um,Spot,Image 1,2,55598,
22.4644,um,Spot,Image 1,2,55599,
22.0086,um,Spot,Image 1,2,55600,
19.4023,um,Spot,Image 1,2,55601,
30.3787,um,Spot,Image 1,2,55602,
34.9757,um,Spot,Image 1,2,55603,
31.6706,um,Spot,Image 1,2,55604,
37.7905,um,Spot,Image 1,2,55605,
42.2974,um,Spot,Image 1,2,55606,
26.2433,um,Spot,Image 1,2,55607,
27.2716,um,Spot,Image 1,2,55608,
39.8673,um,Spot,Image 1,2,55609,
34.4526,um,Spot,Image 1,2,55610,
27.2134,um,Spot,Image 1,2,55611,
27.9137,um,Spot,Image 1,2,55612,
37.5275,um,Spot,Image 1,2,55613,
32.0866,um,Spot,Image 1,2,55614,
34.4877,um,Spot,Image 1,2,55615,
41.3253,um,Spot,Image 1,2,55616,
44.2164,um,Spot,Image 1,2,55617,
45.5492,um,Spot,Image 1,2,55618,
43.046,um,Spot,Image 1,2,55619,
30.2105,um,Spot,Image 1,2,55620,
39.2283,um,Spot,Image 1,2,55621,
30.1287,um,Spot,Image 1,2,55622,
29.7008,um,Spot,Image 1,2,55623,
44.7107,um,Spot,Image 1,2,55624,
42.984,um,Spot,Image 1,2,55625,
44.3067,um,Spot,Image 1,2,55626,
42.406,um,Spot,Image 1,2,55627,
28.703,um,Spot,Image 1,2,55628,
23.1547,um,Spot,Image 1,2,55629,
29.8465,um,Spot,Image 1,2,55630,
23.2313,um,Spot,Image 1,2,55631,
34.8403,um,Spot,Image 1,2,55632,
47.1016,um,Spot,Image 1,2,55633,
30.707,um,Spot,Image 1,2,55634,
41.9135,um,Spot,Image 1,2,55635,
26.7998,um,Spot,Image 1,2,55636,
36.8242,um,Spot,Image 1,2,55637,
41.9978,um,Spot,Image 1,2,55638,
29.6414,um,Spot,Image 1,2,55639,
32.323,um,Spot,Image 1,2,55640,
36.1734,um,Spot,Image 1,2,55641,
47.7477,um,Spot,Image 1,2,55642,
18.5539,um,Spot,Image 1,2,55643,
41.0251,um,Spot,Image 1,2,55644,
31.8588,um,Spot,Image 1,2,55645,
30.4627,um,Spot,Image 1,2,55646,
30.0173,um,Spot,Image 1,2,55647,
26.7106,um,Spot,Image 1,2,55648,
23.8259,um,Spot,Image 1,2,55649,
28.7485,um,Spot,Image 1,2,55650,
36.683,um,Spot,Image 1,2,55651,
34.4788,um,Spot,Image 1,2,55652,
27.0839,um,Spot,Image 1,2,55653,
26.0245,um,Spot,Image 1,2,55654,
23.6179,um,Spot,Image 1,2,55655,
42.2811,um,Spot,Image 1,2,55656,
41.0948,um,Spot,Image 1,2,55657,
38.0571,um,Spot,Image 1,2,55658,
