
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Spot,Image 1,2,55686,
0.939715,um,Spot,Image 1,2,55687,
5.68384,um,Spot,Image 1,2,55688,
6.94709,um,Spot,Image 1,2,55689,
8.31649,um,Spot,Image 1,2,55690,
9.32818,um,Spot,Image 1,2,55691,
6.35286,um,Spot,Image 1,2,55692,
8.72696,um,Spot,Image 1,2,55693,
5.30258,um,Spot,Image 1,2,55694,
5.90706,um,Spot,Image 1,2,55695,
6.3661,um,Spot,Image 1,2,55696,
7.98232,um,Spot,Image 1,2,55697,
8.06723,um,Spot,Image 1,2,55698,
8.57668,um,Spot,Image 1,2,55699,
9.19794,um,Spot,Image 1,2,55700,
10.3511,um,Spot,Image 1,2,55701,
10.9028,um,Spot,Image 1,2,55702,
10.7814,um,Spot,Image 1,2,55703,
12.0125,um,Spot,Image 1,2,55704,
12.652,um,Spot,Image 1,2,55705,
5.47523,um,Spot,Image 1,2,55706,
6.84377,um,Spot,Image 1,2,55707,
8.42629,um,Spot,Image 1,2,55708,
8.64507,um,Spot,Image 1,2,55709,
9.07845,um,Spot,Image 1,2,55710,
9.42993,um,Spot,Image 1,2,55711,
10.0608,um,Spot,Image 1,2,55712,
11.3259,um,Spot,Image 1,2,55713,
12.1558,um,Spot,Image 1,2,55714,
12.6638,um,Spot,Image 1,2,55715,
6.56035,um,Spot,Image 1,2,55716,
6.52951,um,Spot,Image 1,2,55717,
7.6673,um,Spot,Image 1,2,55718,
8.32736,um,Spot,Image 1,2,55719,
8.79675,um,Spot,Image 1,2,55720,
9.61763,um,Spot,Image 1,2,55721,
10.2292,um,Spot,Image 1,2,55722,
10.5454,um,Spot,Image 1,2,55723,
12.1924,um,Spot,Image 1,2,55724,
12.4738,um,Spot,Image 1,2,55725,
5.95373,um,Spot,Image 1,2,55726,
6.57152,um,Spot,Image 1,2,55727,
11.8052,um,Spot,Image 1,2,55728,
9.27567,um,Spot,Image 1,2,55729,
5.61022,um,Spot,Image 1,2,55730,
5.88555,um,Spot,Image 1,2,55731,
5.84713,um,Spot,Image 1,2,55732,
7.78914,um,Spot,Image 1,2,55733,
9.15709,um,Spot,Image 1,2,55734,
10.1922,um,Spot,Image 1,2,55735,
10.5226,um,Spot,Image 1,2,55736,
11.0674,um,Spot,Image 1,2,55737,
11.0043,um,Spot,Image 1,2,55738,
11.5445,um,Spot,Image 1,2,55739,
12.1702,um,Spot,Image 1,2,55740,
12.1017,um,Spot,Image 1,2,55741,
5.92564,um,Spot,Image 1,2,55742,
7.50905,um,Spot,Image 1,2,55743,
7.77527,um,Spot,Image 1,2,55744,
8.20692,um,Spot,Image 1,2,55745,
8.85766,um,Spot,Image 1,2,55746,
9.21845,um,Spot,Image 1,2,55747,
9.61127,um,Spot,Image 1,2,55748,
10.0967,um,Spot,Image 1,2,55749,
10.989,um,Spot,Image 1,2,55750,
11.5201,um,Spot,Image 1,2,55751,
11.7682,um,Spot,Image 1,2,55752,
12.8324,um,Spot,Image 1,2,55753,
7.27453,um,Spot,Image 1,2,55754,
7.36768,um,Spot,Image 1,2,55755,
7.69528,um,Spot,Image 1,2,55756,
7.89178,um,Spot,Image 1,2,55757,
7.66152,um,Spot,Image 1,2,55758,
8.44604,um,Spot,Image 1,2,55759,
8.51114,um,Spot,Image 1,2,55760,
9.24474,um,Spot,Image 1,2,55761,
10.5271,um,Spot,Image 1,2,55762,
11.2475,um,Spot,Image 1,2,55763,
11.7946,um,Spot,Image 1,2,55764,
14.5234,um,Spot,Image 1,2,55765,
15.7832,um,Spot,Image 1,2,55766,
16.7377,um,Spot,Image 1,2,55767,
13.2467,um,Spot,Image 1,2,55768,
14.5825,um,Spot,Image 1,2,55769,
16.4103,um,Spot,Image 1,2,55770,
16.2759,um,Spot,Image 1,2,55771,
16.0301,um,Spot,Image 1,2,55772,
14.7921,um,Spot,Image 1,2,55773,
14.9919,um,Spot,Image 1,2,55774,
14.5308,um,Spot,Image 1,2,55775,
14.6769,um,Spot,Image 1,2,55776,
15.6188,um,Spot,Image 1,2,55777,
16.1027,um,Spot,Image 1,2,55778,
15.5401,um,Spot,Image 1,2,55779,
14.3874,um,Spot,Image 1,2,55780,
13.1849,um,Spot,Image 1,2,55781,
14.081,um,Spot,Image 1,2,55782,
14.2416,um,Spot,Image 1,2,55783,
14.9016,um,Spot,Image 1,2,55784,
15.3832,um,Spot,Image 1,2,55785,
16.0322,um,Spot,Image 1,2,55786,
16.0331,um,Spot,Image 1,2,55787,
15.4877,um,Spot,Image 1,2,55788,
15.3251,um,Spot,Image 1,2,55789,
15.1212,um,Spot,Image 1,2,55790,
14.1716,um,Spot,Image 1,2,55791,
14.5306,um,Spot,Image 1,2,55792,
16.4915,um,Spot,Image 1,2,55793,
13.0288,um,Spot,Image 1,2,55794,
14.207,um,Spot,Image 1,2,55795,
16.9303,um,Spot,Image 1,2,55796,
15.2556,um,Spot,Image 1,2,55797,
13.5392,um,Spot,Image 1,2,55798,
14.0857,um,Spot,Image 1,2,55799,
16.017,um,Spot,Image 1,2,55800,
16.6509,um,Spot,Image 1,2,55801,
16.6205,um,Spot,Image 1,2,55802,
14.9505,um,Spot,Image 1,2,55803,
15.1718,um,Spot,Image 1,2,55804,
14.0305,um,Spot,Image 1,2,55805,
13.4114,um,Spot,Image 1,2,55806,
14.8581,um,Spot,Image 1,2,55807,
14.9118,um,Spot,Image 1,2,55808,
14.8889,um,Spot,Image 1,2,55809,
15.4497,um,Spot,Image 1,2,55810,
16.1213,um,Spot,Image 1,2,55811,
16.3763,um,Spot,Image 1,2,55812,
16.5627,um,Spot,Image 1,2,55813,
14.7803,um,Spot,Image 1,2,55814,
14.4037,um,Spot,Image 1,2,55815,
13.6326,um,Spot,Image 1,2,55816,
12.9277,um,Spot,Image 1,2,55817,
16.3144,um,Spot,Image 1,2,55818,
11.4798,um,Spot,Image 1,2,55819,
9.55882,um,Spot,Image 1,2,55820,
11.7053,um,Spot,Image 1,2,55821,
11.3917,um,Spot,Image 1,2,55822,
