
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,2,55591,
5,5,5,um,Spot,Diameter,2,55592,
5,5,5,um,Spot,Diameter,2,55593,
5,5,5,um,Spot,Diameter,2,55594,
5,5,5,um,Spot,Diameter,2,55595,
5,5,5,um,Spot,Diameter,2,55596,
5,5,5,um,Spot,Diameter,2,55597,
5,5,5,um,Spot,Diameter,2,55598,
5,5,5,um,Spot,Diameter,2,55599,
5,5,5,um,Spot,Diameter,2,55600,
5,5,5,um,Spot,Diameter,2,55601,
5,5,5,um,Spot,Diameter,2,55602,
5,5,5,um,Spot,Diameter,2,55603,
5,5,5,um,Spot,Diameter,2,55604,
5,5,5,um,Spot,Diameter,2,55605,
5,5,5,um,Spot,Diameter,2,55606,
5,5,5,um,Spot,Diameter,2,55607,
5,5,5,um,Spot,Diameter,2,55608,
5,5,5,um,Spot,Diameter,2,55609,
5,5,5,um,Spot,Diameter,2,55610,
5,5,5,um,Spot,Diameter,2,55611,
5,5,5,um,Spot,Diameter,2,55612,
5,5,5,um,Spot,Diameter,2,55613,
5,5,5,um,Spot,Diameter,2,55614,
5,5,5,um,Spot,Diameter,2,55615,
5,5,5,um,Spot,Diameter,2,55616,
5,5,5,um,Spot,Diameter,2,55617,
5,5,5,um,Spot,Diameter,2,55618,
5,5,5,um,Spot,Diameter,2,55619,
5,5,5,um,Spot,Diameter,2,55620,
5,5,5,um,Spot,Diameter,2,55621,
5,5,5,um,Spot,Diameter,2,55622,
5,5,5,um,Spot,Diameter,2,55623,
5,5,5,um,Spot,Diameter,2,55624,
5,5,5,um,Spot,Diameter,2,55625,
5,5,5,um,Spot,Diameter,2,55626,
5,5,5,um,Spot,Diameter,2,55627,
5,5,5,um,Spot,Diameter,2,55628,
5,5,5,um,Spot,Diameter,2,55629,
5,5,5,um,Spot,Diameter,2,55630,
5,5,5,um,Spot,Diameter,2,55631,
5,5,5,um,Spot,Diameter,2,55632,
5,5,5,um,Spot,Diameter,2,55633,
5,5,5,um,Spot,Diameter,2,55634,
5,5,5,um,Spot,Diameter,2,55635,
5,5,5,um,Spot,Diameter,2,55636,
5,5,5,um,Spot,Diameter,2,55637,
5,5,5,um,Spot,Diameter,2,55638,
5,5,5,um,Spot,Diameter,2,55639,
5,5,5,um,Spot,Diameter,2,55640,
5,5,5,um,Spot,Diameter,2,55641,
5,5,5,um,Spot,Diameter,2,55642,
5,5,5,um,Spot,Diameter,2,55643,
5,5,5,um,Spot,Diameter,2,55644,
5,5,5,um,Spot,Diameter,2,55645,
5,5,5,um,Spot,Diameter,2,55646,
5,5,5,um,Spot,Diameter,2,55647,
5,5,5,um,Spot,Diameter,2,55648,
5,5,5,um,Spot,Diameter,2,55649,
5,5,5,um,Spot,Diameter,2,55650,
5,5,5,um,Spot,Diameter,2,55651,
5,5,5,um,Spot,Diameter,2,55652,
5,5,5,um,Spot,Diameter,2,55653,
5,5,5,um,Spot,Diameter,2,55654,
5,5,5,um,Spot,Diameter,2,55655,
5,5,5,um,Spot,Diameter,2,55656,
5,5,5,um,Spot,Diameter,2,55657,
5,5,5,um,Spot,Diameter,2,55658,
5,5,5,um,Spot,Diameter,2,55659,
5,5,5,um,Spot,Diameter,2,55660,
5,5,5,um,Spot,Diameter,2,55661,
5,5,5,um,Spot,Diameter,2,55662,
5,5,5,um,Spot,Diameter,2,55663,
5,5,5,um,Spot,Diameter,2,55664,
5,5,5,um,Spot,Diameter,2,55665,
5,5,5,um,Spot,Diameter,2,55666,
5,5,5,um,Spot,Diameter,2,55667,
5,5,5,um,Spot,Diameter,2,55668,
5,5,5,um,Spot,Diameter,2,55669,
5,5,5,um,Spot,Diameter,2,55670,
5,5,5,um,Spot,Diameter,2,55671,
5,5,5,um,Spot,Diameter,2,55672,
5,5,5,um,Spot,Diameter,2,55673,
5,5,5,um,Spot,Diameter,2,55674,
5,5,5,um,Spot,Diameter,2,55675,
5,5,5,um,Spot,Diameter,2,55676,
5,5,5,um,Spot,Diameter,2,55677,
5,5,5,um,Spot,Diameter,2,55678,
5,5,5,um,Spot,Diameter,2,55679,
5,5,5,um,Spot,Diameter,2,55680,
5,5,5,um,Spot,Diameter,2,55681,
5,5,5,um,Spot,Diameter,2,55682,
5,5,5,um,Spot,Diameter,2,55683,
5,5,5,um,Spot,Diameter,2,55684,
5,5,5,um,Spot,Diameter,2,55685,
5,5,5,um,Spot,Diameter,2,55686,
5,5,5,um,Spot,Diameter,2,55687,
5,5,5,um,Spot,Diameter,2,55688,
5,5,5,um,Spot,Diameter,2,55689,
5,5,5,um,Spot,Diameter,2,55690,
5,5,5,um,Spot,Diameter,2,55691,
5,5,5,um,Spot,Diameter,2,55692,
5,5,5,um,Spot,Diameter,2,55693,
5,5,5,um,Spot,Diameter,2,55694,
5,5,5,um,Spot,Diameter,2,55695,
5,5,5,um,Spot,Diameter,2,55696,
5,5,5,um,Spot,Diameter,2,55697,
5,5,5,um,Spot,Diameter,2,55698,
5,5,5,um,Spot,Diameter,2,55699,
5,5,5,um,Spot,Diameter,2,55700,
5,5,5,um,Spot,Diameter,2,55701,
5,5,5,um,Spot,Diameter,2,55702,
5,5,5,um,Spot,Diameter,2,55703,
5,5,5,um,Spot,Diameter,2,55704,
5,5,5,um,Spot,Diameter,2,55705,
5,5,5,um,Spot,Diameter,2,55706,
5,5,5,um,Spot,Diameter,2,55707,
5,5,5,um,Spot,Diameter,2,55708,
5,5,5,um,Spot,Diameter,2,55709,
