
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
150.941,um,Spot,Distance from Origin,1,55435,
151.778,um,Spot,Distance from Origin,1,55436,
160.382,um,Spot,Distance from Origin,1,55437,
150.35,um,Spot,Distance from Origin,1,55438,
152.056,um,Spot,Distance from Origin,1,55439,
152.707,um,Spot,Distance from Origin,1,55440,
152.722,um,Spot,Distance from Origin,1,55441,
158.996,um,Spot,Distance from Origin,1,55442,
159.075,um,Spot,Distance from Origin,1,55444,
156.75,um,Spot,Distance from Origin,1,55445,
137.071,um,Spot,Distance from Origin,1,55446,
140.56,um,Spot,Distance from Origin,1,55447,
144.77,um,Spot,Distance from Origin,1,55449,
132.61,um,Spot,Distance from Origin,1,55450,
123.991,um,Spot,Distance from Origin,1,55452,
125.115,um,Spot,Distance from Origin,1,55453,
117.33,um,Spot,Distance from Origin,1,55454,
163.387,um,Spot,Distance from Origin,1,55455,
158.147,um,Spot,Distance from Origin,1,55456,
168.316,um,Spot,Distance from Origin,1,55458,
153.484,um,Spot,Distance from Origin,1,55459,
145.111,um,Spot,Distance from Origin,1,55460,
131.881,um,Spot,Distance from Origin,1,55461,
127.557,um,Spot,Distance from Origin,1,55462,
127.442,um,Spot,Distance from Origin,1,55464,
131.322,um,Spot,Distance from Origin,1,55465,
136.703,um,Spot,Distance from Origin,1,55466,
141.049,um,Spot,Distance from Origin,1,55468,
144.973,um,Spot,Distance from Origin,1,55469,
134.08,um,Spot,Distance from Origin,1,55470,
136.182,um,Spot,Distance from Origin,1,55471,
138.876,um,Spot,Distance from Origin,1,55472,
137.855,um,Spot,Distance from Origin,1,55474,
133.72,um,Spot,Distance from Origin,1,55475,
137.96,um,Spot,Distance from Origin,1,55476,
124.776,um,Spot,Distance from Origin,1,55477,
124.01,um,Spot,Distance from Origin,1,55478,
125.248,um,Spot,Distance from Origin,1,55479,
104.123,um,Spot,Distance from Origin,1,55480,
64.1663,um,Spot,Distance from Origin,1,55481,
61.156,um,Spot,Distance from Origin,1,55482,
69.1198,um,Spot,Distance from Origin,1,55483,
144.717,um,Spot,Distance from Origin,1,55484,
150.166,um,Spot,Distance from Origin,1,55485,
123.835,um,Spot,Distance from Origin,1,55486,
133.483,um,Spot,Distance from Origin,1,55487,
113.474,um,Spot,Distance from Origin,1,55488,
129.012,um,Spot,Distance from Origin,1,55491,
129.174,um,Spot,Distance from Origin,1,55492,
125.478,um,Spot,Distance from Origin,1,55493,
125.833,um,Spot,Distance from Origin,1,55494,
103.996,um,Spot,Distance from Origin,1,55495,
93.8419,um,Spot,Distance from Origin,1,55496,
80.3834,um,Spot,Distance from Origin,1,55497,
107.158,um,Spot,Distance from Origin,1,55498,
95.4859,um,Spot,Distance from Origin,1,55499,
88.6598,um,Spot,Distance from Origin,1,55500,
86.5012,um,Spot,Distance from Origin,1,55501,
72.2822,um,Spot,Distance from Origin,1,55502,
68.3524,um,Spot,Distance from Origin,1,55503,
67.2511,um,Spot,Distance from Origin,1,55505,
56.1198,um,Spot,Distance from Origin,1,55506,
84.6808,um,Spot,Distance from Origin,1,55507,
116.457,um,Spot,Distance from Origin,1,55508,
149.509,um,Spot,Distance from Origin,1,55509,
142.441,um,Spot,Distance from Origin,1,55511,
96.9558,um,Spot,Distance from Origin,1,55512,
71.0684,um,Spot,Distance from Origin,1,55513,
64.6071,um,Spot,Distance from Origin,1,55514,
76.4664,um,Spot,Distance from Origin,1,55515,
148.486,um,Spot,Distance from Origin,1,55517,
136.217,um,Spot,Distance from Origin,1,55519,
134.916,um,Spot,Distance from Origin,1,55520,
98.7162,um,Spot,Distance from Origin,1,55521,
128.671,um,Spot,Distance from Origin,1,55524,
128.744,um,Spot,Distance from Origin,1,55525,
155.108,um,Spot,Distance from Origin,1,55526,
78.3973,um,Spot,Distance from Origin,1,55528,
82.2705,um,Spot,Distance from Origin,1,55529,
94.3866,um,Spot,Distance from Origin,1,55532,
105.019,um,Spot,Distance from Origin,1,55533,
137.845,um,Spot,Distance from Origin,1,55534,
77.1528,um,Spot,Distance from Origin,1,55535,
136.113,um,Spot,Distance from Origin,1,55536,
135.837,um,Spot,Distance from Origin,1,55537,
122.604,um,Spot,Distance from Origin,1,55538,
106.494,um,Spot,Distance from Origin,1,55539,
96.6225,um,Spot,Distance from Origin,1,55540,
90.426,um,Spot,Distance from Origin,1,55541,
93.4543,um,Spot,Distance from Origin,1,55542,
91.1774,um,Spot,Distance from Origin,1,55543,
75.6382,um,Spot,Distance from Origin,1,55544,
69.7381,um,Spot,Distance from Origin,1,55545,
81.3246,um,Spot,Distance from Origin,1,55546,
91.7363,um,Spot,Distance from Origin,1,55548,
86.8328,um,Spot,Distance from Origin,1,55549,
61.9101,um,Spot,Distance from Origin,1,55550,
107.631,um,Spot,Distance from Origin,1,55551,
97.9635,um,Spot,Distance from Origin,1,55552,
84.7424,um,Spot,Distance from Origin,1,55553,
97.4783,um,Spot,Distance from Origin,1,55554,
111.683,um,Spot,Distance from Origin,1,55555,
108.339,um,Spot,Distance from Origin,1,55556,
105.32,um,Spot,Distance from Origin,1,55557,
98.5652,um,Spot,Distance from Origin,1,55558,
94.9271,um,Spot,Distance from Origin,1,55559,
98.4671,um,Spot,Distance from Origin,1,55560,
94.3716,um,Spot,Distance from Origin,1,55561,
97.8558,um,Spot,Distance from Origin,1,55562,
74.4042,um,Spot,Distance from Origin,1,55563,
109.448,um,Spot,Distance from Origin,1,55564,
84.3523,um,Spot,Distance from Origin,1,55565,
133.426,um,Spot,Distance from Origin,1,55566,
102.839,um,Spot,Distance from Origin,1,55568,
104.05,um,Spot,Distance from Origin,1,55569,
73.2722,um,Spot,Distance from Origin,1,55570,
135.828,um,Spot,Distance from Origin,1,55571,
57.7141,um,Spot,Distance from Origin,1,55572,
110.535,um,Spot,Distance from Origin,1,55573,
89.7697,um,Spot,Distance from Origin,1,55574,
108.725,um,Spot,Distance from Origin,1,55576,
70.8235,um,Spot,Distance from Origin,1,55577,
86.1824,um,Spot,Distance from Origin,1,55578,
72.1096,um,Spot,Distance from Origin,1,55579,
92.021,um,Spot,Distance from Origin,1,55580,
88.9582,um,Spot,Distance from Origin,1,55581,
84.9417,um,Spot,Distance from Origin,1,55582,
55.0653,um,Spot,Distance from Origin,2,55583,
49.8594,um,Spot,Distance from Origin,2,55584,
46.7468,um,Spot,Distance from Origin,2,55585,
61.849,um,Spot,Distance from Origin,2,55586,
74.8092,um,Spot,Distance from Origin,2,55587,
83.7459,um,Spot,Distance from Origin,2,55588,
70.881,um,Spot,Distance from Origin,2,55589,
89.2444,um,Spot,Distance from Origin,2,55590,
84.8539,um,Spot,Distance from Origin,2,55591,
93.5467,um,Spot,Distance from Origin,2,55592,
104.581,um,Spot,Distance from Origin,2,55593,
95.2241,um,Spot,Distance from Origin,2,55594,
114.858,um,Spot,Distance from Origin,2,55595,
119.768,um,Spot,Distance from Origin,2,55596,
58.6638,um,Spot,Distance from Origin,2,55597,
45.9457,um,Spot,Distance from Origin,2,55598,
53.5567,um,Spot,Distance from Origin,2,55599,
68.3024,um,Spot,Distance from Origin,2,55600,
62.351,um,Spot,Distance from Origin,2,55601,
60.6027,um,Spot,Distance from Origin,2,55602,
60.7181,um,Spot,Distance from Origin,2,55603,
72.4512,um,Spot,Distance from Origin,2,55604,
71.889,um,Spot,Distance from Origin,2,55605,
78.1127,um,Spot,Distance from Origin,2,55606,
55.7587,um,Spot,Distance from Origin,2,55607,
50.0208,um,Spot,Distance from Origin,2,55608,
69.6242,um,Spot,Distance from Origin,2,55609,
62.886,um,Spot,Distance from Origin,2,55610,
55.0688,um,Spot,Distance from Origin,2,55611,
60.5356,um,Spot,Distance from Origin,2,55612,
65.7844,um,Spot,Distance from Origin,2,55613,
77.5532,um,Spot,Distance from Origin,2,55614,
73.798,um,Spot,Distance from Origin,2,55615,
82.6465,um,Spot,Distance from Origin,2,55616,
92.8124,um,Spot,Distance from Origin,2,55617,
87.1515,um,Spot,Distance from Origin,2,55618,
98.5777,um,Spot,Distance from Origin,2,55619,
91.9968,um,Spot,Distance from Origin,2,55620,
87.8762,um,Spot,Distance from Origin,2,55621,
80.4891,um,Spot,Distance from Origin,2,55622,
76.689,um,Spot,Distance from Origin,2,55623,
96.2145,um,Spot,Distance from Origin,2,55624,
79.5998,um,Spot,Distance from Origin,2,55625,
84.2062,um,Spot,Distance from Origin,2,55626,
98.5974,um,Spot,Distance from Origin,2,55627,
92.7286,um,Spot,Distance from Origin,2,55628,
120.08,um,Spot,Distance from Origin,2,55629,
101.754,um,Spot,Distance from Origin,2,55630,
125.304,um,Spot,Distance from Origin,2,55631,
117.371,um,Spot,Distance from Origin,2,55632,
107.587,um,Spot,Distance from Origin,2,55633,
122.901,um,Spot,Distance from Origin,2,55634,
107.775,um,Spot,Distance from Origin,2,55635,
106.178,um,Spot,Distance from Origin,2,55636,
110.379,um,Spot,Distance from Origin,2,55637,
112.433,um,Spot,Distance from Origin,2,55638,
116.219,um,Spot,Distance from Origin,2,55639,
116.624,um,Spot,Distance from Origin,2,55640,
100.61,um,Spot,Distance from Origin,2,55641,
107.572,um,Spot,Distance from Origin,2,55642,
81.5448,um,Spot,Distance from Origin,2,55643,
83.3329,um,Spot,Distance from Origin,2,55644,
81.3507,um,Spot,Distance from Origin,2,55645,
97.8324,um,Spot,Distance from Origin,2,55646,
94.2762,um,Spot,Distance from Origin,2,55647,
87.3296,um,Spot,Distance from Origin,2,55648,
100.439,um,Spot,Distance from Origin,2,55649,
90.408,um,Spot,Distance from Origin,2,55650,
86.5326,um,Spot,Distance from Origin,2,55651,
76.1201,um,Spot,Distance from Origin,2,55652,
91.7281,um,Spot,Distance from Origin,2,55653,
95.7974,um,Spot,Distance from Origin,2,55654,
102.92,um,Spot,Distance from Origin,2,55655,
89.7098,um,Spot,Distance from Origin,2,55656,
105.78,um,Spot,Distance from Origin,2,55657,
111.936,um,Spot,Distance from Origin,2,55658,
104.351,um,Spot,Distance from Origin,2,55659,
116.483,um,Spot,Distance from Origin,2,55660,
125.387,um,Spot,Distance from Origin,2,55661,
93.2501,um,Spot,Distance from Origin,2,55662,
103.136,um,Spot,Distance from Origin,2,55663,
117.146,um,Spot,Distance from Origin,2,55664,
110.173,um,Spot,Distance from Origin,2,55665,
102.985,um,Spot,Distance from Origin,2,55666,
108.788,um,Spot,Distance from Origin,2,55667,
114.123,um,Spot,Distance from Origin,2,55668,
88.42,um,Spot,Distance from Origin,2,55669,
100.743,um,Spot,Distance from Origin,2,55670,
119.628,um,Spot,Distance from Origin,2,55671,
128.324,um,Spot,Distance from Origin,2,55672,
124.549,um,Spot,Distance from Origin,2,55673,
129.597,um,Spot,Distance from Origin,2,55674,
121.944,um,Spot,Distance from Origin,2,55675,
144.796,um,Spot,Distance from Origin,2,55676,
135.827,um,Spot,Distance from Origin,2,55677,
134.755,um,Spot,Distance from Origin,2,55678,
120.847,um,Spot,Distance from Origin,2,55679,
130.369,um,Spot,Distance from Origin,2,55680,
114.625,um,Spot,Distance from Origin,2,55681,
127.321,um,Spot,Distance from Origin,2,55682,
132.702,um,Spot,Distance from Origin,2,55683,
129.171,um,Spot,Distance from Origin,2,55684,
147.837,um,Spot,Distance from Origin,2,55685,
139.702,um,Spot,Distance from Origin,2,55686,
135.315,um,Spot,Distance from Origin,2,55687,
50.9247,um,Spot,Distance from Origin,2,55688,
64.0427,um,Spot,Distance from Origin,2,55689,
54.6974,um,Spot,Distance from Origin,2,55690,
56.8407,um,Spot,Distance from Origin,2,55691,
78.6122,um,Spot,Distance from Origin,2,55692,
73.0063,um,Spot,Distance from Origin,2,55693,
99.0183,um,Spot,Distance from Origin,2,55694,
66.1945,um,Spot,Distance from Origin,2,55695,
58.5788,um,Spot,Distance from Origin,2,55696,
60.5801,um,Spot,Distance from Origin,2,55697,
68.3454,um,Spot,Distance from Origin,2,55698,
53.6529,um,Spot,Distance from Origin,2,55699,
64.0413,um,Spot,Distance from Origin,2,55700,
63.7506,um,Spot,Distance from Origin,2,55701,
59.7358,um,Spot,Distance from Origin,2,55702,
70.721,um,Spot,Distance from Origin,2,55703,
70.7811,um,Spot,Distance from Origin,2,55704,
77.0261,um,Spot,Distance from Origin,2,55705,
103.655,um,Spot,Distance from Origin,2,55706,
82.1201,um,Spot,Distance from Origin,2,55707,
93.084,um,Spot,Distance from Origin,2,55708,
90.319,um,Spot,Distance from Origin,2,55709,
80.3179,um,Spot,Distance from Origin,2,55710,
90.6772,um,Spot,Distance from Origin,2,55711,
98.5983,um,Spot,Distance from Origin,2,55712,
86.1132,um,Spot,Distance from Origin,2,55713,
91.4625,um,Spot,Distance from Origin,2,55714,
101.895,um,Spot,Distance from Origin,2,55715,
102.925,um,Spot,Distance from Origin,2,55716,
118.926,um,Spot,Distance from Origin,2,55717,
