
Intensity Center Ch=1 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
672,,Spot,1,Image 1,2,55610,
148,,Spot,1,Image 1,2,55611,
677,,Spot,1,Image 1,2,55612,
638,,Spot,1,Image 1,2,55613,
360,,Spot,1,Image 1,2,55614,
402,,Spot,1,Image 1,2,55615,
213,,Spot,1,Image 1,2,55616,
476,,Spot,1,Image 1,2,55617,
54,,Spot,1,Image 1,2,55618,
297,,Spot,1,Image 1,2,55619,
497,,Spot,1,Image 1,2,55620,
278,,Spot,1,Image 1,2,55621,
565,,Spot,1,Image 1,2,55622,
607,,Spot,1,Image 1,2,55623,
1080,,Spot,1,Image 1,2,55624,
143,,Spot,1,Image 1,2,55625,
499,,Spot,1,Image 1,2,55626,
340,,Spot,1,Image 1,2,55627,
221,,Spot,1,Image 1,2,55628,
350,,Spot,1,Image 1,2,55629,
697,,Spot,1,Image 1,2,55630,
790,,Spot,1,Image 1,2,55631,
9,,Spot,1,Image 1,2,55632,
350,,Spot,1,Image 1,2,55633,
257,,Spot,1,Image 1,2,55634,
214,,Spot,1,Image 1,2,55635,
168,,Spot,1,Image 1,2,55636,
370,,Spot,1,Image 1,2,55637,
332,,Spot,1,Image 1,2,55638,
380,,Spot,1,Image 1,2,55639,
407,,Spot,1,Image 1,2,55640,
746,,Spot,1,Image 1,2,55641,
271,,Spot,1,Image 1,2,55642,
186,,Spot,1,Image 1,2,55643,
289,,Spot,1,Image 1,2,55644,
225,,Spot,1,Image 1,2,55645,
679,,Spot,1,Image 1,2,55646,
411,,Spot,1,Image 1,2,55647,
518,,Spot,1,Image 1,2,55648,
489,,Spot,1,Image 1,2,55649,
342,,Spot,1,Image 1,2,55650,
210,,Spot,1,Image 1,2,55651,
510,,Spot,1,Image 1,2,55652,
766,,Spot,1,Image 1,2,55653,
350,,Spot,1,Image 1,2,55654,
235,,Spot,1,Image 1,2,55655,
392,,Spot,1,Image 1,2,55656,
513,,Spot,1,Image 1,2,55657,
424,,Spot,1,Image 1,2,55658,
767,,Spot,1,Image 1,2,55659,
296,,Spot,1,Image 1,2,55660,
534,,Spot,1,Image 1,2,55661,
521,,Spot,1,Image 1,2,55662,
335,,Spot,1,Image 1,2,55663,
411,,Spot,1,Image 1,2,55664,
154,,Spot,1,Image 1,2,55665,
1069,,Spot,1,Image 1,2,55666,
266,,Spot,1,Image 1,2,55667,
567,,Spot,1,Image 1,2,55668,
336,,Spot,1,Image 1,2,55669,
613,,Spot,1,Image 1,2,55670,
746,,Spot,1,Image 1,2,55671,
330,,Spot,1,Image 1,2,55672,
397,,Spot,1,Image 1,2,55673,
358,,Spot,1,Image 1,2,55674,
454,,Spot,1,Image 1,2,55675,
478,,Spot,1,Image 1,2,55676,
516,,Spot,1,Image 1,2,55677,
339,,Spot,1,Image 1,2,55678,
370,,Spot,1,Image 1,2,55679,
545,,Spot,1,Image 1,2,55680,
707,,Spot,1,Image 1,2,55681,
426,,Spot,1,Image 1,2,55682,
352,,Spot,1,Image 1,2,55683,
371,,Spot,1,Image 1,2,55684,
725,,Spot,1,Image 1,2,55685,
187,,Spot,1,Image 1,2,55686,
284,,Spot,1,Image 1,2,55687,
514,,Spot,1,Image 1,2,55688,
847,,Spot,1,Image 1,2,55689,
160,,Spot,1,Image 1,2,55690,
749,,Spot,1,Image 1,2,55691,
309,,Spot,1,Image 1,2,55692,
206,,Spot,1,Image 1,2,55693,
193,,Spot,1,Image 1,2,55694,
263,,Spot,1,Image 1,2,55695,
533,,Spot,1,Image 1,2,55696,
544,,Spot,1,Image 1,2,55697,
227,,Spot,1,Image 1,2,55698,
107,,Spot,1,Image 1,2,55699,
524,,Spot,1,Image 1,2,55700,
35,,Spot,1,Image 1,2,55701,
688,,Spot,1,Image 1,2,55702,
244,,Spot,1,Image 1,2,55703,
188,,Spot,1,Image 1,2,55704,
488,,Spot,1,Image 1,2,55705,
114,,Spot,1,Image 1,2,55706,
1405,,Spot,1,Image 1,2,55707,
190,,Spot,1,Image 1,2,55708,
610,,Spot,1,Image 1,2,55709,
526,,Spot,1,Image 1,2,55710,
292,,Spot,1,Image 1,2,55711,
175,,Spot,1,Image 1,2,55712,
266,,Spot,1,Image 1,2,55713,
330,,Spot,1,Image 1,2,55714,
311,,Spot,1,Image 1,2,55715,
250,,Spot,1,Image 1,2,55716,
501,,Spot,1,Image 1,2,55717,
832,,Spot,1,Image 1,2,55718,
312,,Spot,1,Image 1,2,55719,
967,,Spot,1,Image 1,2,55720,
338,,Spot,1,Image 1,2,55721,
621,,Spot,1,Image 1,2,55722,
484,,Spot,1,Image 1,2,55723,
448,,Spot,1,Image 1,2,55724,
192,,Spot,1,Image 1,2,55725,
536,,Spot,1,Image 1,2,55726,
562,,Spot,1,Image 1,2,55727,
647,,Spot,1,Image 1,2,55728,
354,,Spot,1,Image 1,2,55729,
239,,Spot,1,Image 1,2,55730,
1265,,Spot,1,Image 1,2,55731,
334,,Spot,1,Image 1,2,55732,
332,,Spot,1,Image 1,2,55733,
398,,Spot,1,Image 1,2,55734,
510,,Spot,1,Image 1,2,55735,
206,,Spot,1,Image 1,2,55736,
6,,Spot,1,Image 1,2,55737,
448,,Spot,1,Image 1,2,55738,
516,,Spot,1,Image 1,2,55739,
350,,Spot,1,Image 1,2,55740,
59,,Spot,1,Image 1,2,55741,
564,,Spot,1,Image 1,2,55742,
530,,Spot,1,Image 1,2,55743,
110,,Spot,1,Image 1,2,55744,
297,,Spot,1,Image 1,2,55745,
273,,Spot,1,Image 1,2,55746,
668,,Spot,1,Image 1,2,55747,
710,,Spot,1,Image 1,2,55748,
384,,Spot,1,Image 1,2,55749,
292,,Spot,1,Image 1,2,55750,
397,,Spot,1,Image 1,2,55751,
728,,Spot,1,Image 1,2,55752,
78,,Spot,1,Image 1,2,55753,
359,,Spot,1,Image 1,2,55754,
708,,Spot,1,Image 1,2,55755,
306,,Spot,1,Image 1,2,55756,
85,,Spot,1,Image 1,2,55757,
1185,,Spot,1,Image 1,2,55758,
465,,Spot,1,Image 1,2,55759,
347,,Spot,1,Image 1,2,55760,
842,,Spot,1,Image 1,2,55761,
479,,Spot,1,Image 1,2,55762,
570,,Spot,1,Image 1,2,55763,
267,,Spot,1,Image 1,2,55764,
892,,Spot,1,Image 1,2,55765,
629,,Spot,1,Image 1,2,55766,
672,,Spot,1,Image 1,2,55767,
65,,Spot,1,Image 1,2,55768,
899,,Spot,1,Image 1,2,55769,
69,,Spot,1,Image 1,2,55770,
298,,Spot,1,Image 1,2,55771,
613,,Spot,1,Image 1,2,55772,
502,,Spot,1,Image 1,2,55773,
51,,Spot,1,Image 1,2,55774,
294,,Spot,1,Image 1,2,55775,
712,,Spot,1,Image 1,2,55776,
237,,Spot,1,Image 1,2,55777,
700,,Spot,1,Image 1,2,55778,
337,,Spot,1,Image 1,2,55779,
406,,Spot,1,Image 1,2,55780,
403,,Spot,1,Image 1,2,55781,
677,,Spot,1,Image 1,2,55782,
589,,Spot,1,Image 1,2,55783,
556,,Spot,1,Image 1,2,55784,
385,,Spot,1,Image 1,2,55785,
236,,Spot,1,Image 1,2,55786,
605,,Spot,1,Image 1,2,55787,
332,,Spot,1,Image 1,2,55788,
290,,Spot,1,Image 1,2,55789,
279,,Spot,1,Image 1,2,55790,
270,,Spot,1,Image 1,2,55791,
619,,Spot,1,Image 1,2,55792,
584,,Spot,1,Image 1,2,55793,
84,,Spot,1,Image 1,2,55794,
158,,Spot,1,Image 1,2,55795,
322,,Spot,1,Image 1,2,55796,
262,,Spot,1,Image 1,2,55797,
402,,Spot,1,Image 1,2,55798,
899,,Spot,1,Image 1,2,55799,
456,,Spot,1,Image 1,2,55800,
216,,Spot,1,Image 1,2,55801,
242,,Spot,1,Image 1,2,55802,
167,,Spot,1,Image 1,2,55803,
324,,Spot,1,Image 1,2,55804,
341,,Spot,1,Image 1,2,55805,
532,,Spot,1,Image 1,2,55806,
51,,Spot,1,Image 1,2,55807,
457,,Spot,1,Image 1,2,55808,
152,,Spot,1,Image 1,2,55809,
790,,Spot,1,Image 1,2,55810,
7,,Spot,1,Image 1,2,55811,
556,,Spot,1,Image 1,2,55812,
268,,Spot,1,Image 1,2,55813,
105,,Spot,1,Image 1,2,55814,
131,,Spot,1,Image 1,2,55815,
168,,Spot,1,Image 1,2,55816,
213,,Spot,1,Image 1,2,55817,
45,,Spot,1,Image 1,2,55818,
97,,Spot,1,Image 1,2,55819,
358,,Spot,1,Image 1,2,55820,
649,,Spot,1,Image 1,2,55821,
582,,Spot,1,Image 1,2,55822,
375,,Spot,1,Image 1,2,55823,
552,,Spot,1,Image 1,2,55824,
153,,Spot,1,Image 1,2,55825,
763,,Spot,1,Image 1,2,55826,
846,,Spot,1,Image 1,2,55827,
526,,Spot,1,Image 1,2,55828,
351,,Spot,1,Image 1,2,55829,
607,,Spot,1,Image 1,2,55830,
760,,Spot,1,Image 1,2,55831,
240,,Spot,1,Image 1,2,55832,
95,,Spot,1,Image 1,2,55833,
0,,Spot,1,Image 1,2,55834,
415,,Spot,1,Image 1,2,55835,
500,,Spot,1,Image 1,2,55836,
546,,Spot,1,Image 1,2,55837,
559,,Spot,1,Image 1,2,55838,
500,,Spot,1,Image 1,2,55839,
184,,Spot,1,Image 1,2,55840,
263,,Spot,1,Image 1,2,55841,
246,,Spot,1,Image 1,2,55842,
555,,Spot,1,Image 1,2,55843,
492,,Spot,1,Image 1,2,55844,
616,,Spot,1,Image 1,2,55845,
264,,Spot,1,Image 1,2,55846,
221,,Spot,1,Image 1,2,55847,
469,,Spot,1,Image 1,2,55848,
618,,Spot,1,Image 1,2,55849,
703,,Spot,1,Image 1,2,55850,
1528,,Spot,1,Image 1,2,55851,
