
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
3335,,Spot,1,Image 1,1,55532,
3491,,Spot,1,Image 1,1,55533,
3609,,Spot,1,Image 1,1,55534,
3285,,Spot,1,Image 1,1,55535,
2883,,Spot,1,Image 1,1,55536,
3058,,Spot,1,Image 1,1,55537,
1723,,Spot,1,Image 1,1,55538,
1715,,Spot,1,Image 1,1,55539,
2027,,Spot,1,Image 1,1,55540,
3128,,Spot,1,Image 1,1,55541,
3257,,Spot,1,Image 1,1,55542,
1801,,Spot,1,Image 1,1,55543,
2393,,Spot,1,Image 1,1,55544,
2547,,Spot,1,Image 1,1,55545,
2944,,Spot,1,Image 1,1,55546,
3476,,Spot,1,Image 1,1,55548,
3323,,Spot,1,Image 1,1,55549,
4221,,Spot,1,Image 1,1,55550,
4214,,Spot,1,Image 1,1,55551,
2280,,Spot,1,Image 1,1,55552,
3037,,Spot,1,Image 1,1,55553,
3637,,Spot,1,Image 1,1,55554,
4193,,Spot,1,Image 1,1,55555,
2556,,Spot,1,Image 1,1,55556,
3843,,Spot,1,Image 1,1,55557,
2501,,Spot,1,Image 1,1,55558,
2145,,Spot,1,Image 1,1,55559,
3133,,Spot,1,Image 1,1,55560,
4048,,Spot,1,Image 1,1,55561,
3740,,Spot,1,Image 1,1,55562,
2147,,Spot,1,Image 1,1,55563,
3388,,Spot,1,Image 1,1,55564,
4145,,Spot,1,Image 1,1,55565,
3161,,Spot,1,Image 1,1,55566,
2539,,Spot,1,Image 1,1,55568,
2827,,Spot,1,Image 1,1,55569,
3538,,Spot,1,Image 1,1,55570,
2700,,Spot,1,Image 1,1,55571,
3442,,Spot,1,Image 1,1,55572,
3034,,Spot,1,Image 1,1,55573,
2197,,Spot,1,Image 1,1,55574,
3318,,Spot,1,Image 1,1,55576,
3309,,Spot,1,Image 1,1,55577,
2237,,Spot,1,Image 1,1,55578,
3373,,Spot,1,Image 1,1,55579,
2508,,Spot,1,Image 1,1,55580,
2411,,Spot,1,Image 1,1,55581,
2425,,Spot,1,Image 1,1,55582,
2548,,Spot,1,Image 1,2,55583,
2934,,Spot,1,Image 1,2,55584,
2936,,Spot,1,Image 1,2,55585,
2340,,Spot,1,Image 1,2,55586,
2180,,Spot,1,Image 1,2,55587,
2439,,Spot,1,Image 1,2,55588,
3396,,Spot,1,Image 1,2,55589,
3167,,Spot,1,Image 1,2,55590,
3731,,Spot,1,Image 1,2,55591,
2235,,Spot,1,Image 1,2,55592,
1874,,Spot,1,Image 1,2,55593,
1622,,Spot,1,Image 1,2,55594,
1812,,Spot,1,Image 1,2,55595,
1899,,Spot,1,Image 1,2,55596,
2382,,Spot,1,Image 1,2,55597,
2807,,Spot,1,Image 1,2,55598,
2264,,Spot,1,Image 1,2,55599,
3113,,Spot,1,Image 1,2,55600,
2310,,Spot,1,Image 1,2,55601,
3023,,Spot,1,Image 1,2,55602,
