
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
117.122,,Spot,4,Image 1,1,55472,
147.455,,Spot,4,Image 1,1,55474,
32.324,,Spot,4,Image 1,1,55475,
108.834,,Spot,4,Image 1,1,55476,
100.027,,Spot,4,Image 1,1,55477,
132.776,,Spot,4,Image 1,1,55478,
79.3412,,Spot,4,Image 1,1,55479,
26.5368,,Spot,4,Image 1,1,55480,
149.806,,Spot,4,Image 1,1,55481,
213.863,,Spot,4,Image 1,1,55482,
35.4563,,Spot,4,Image 1,1,55483,
34.4648,,Spot,4,Image 1,1,55484,
233.34,,Spot,4,Image 1,1,55485,
215.596,,Spot,4,Image 1,1,55486,
271.7,,Spot,4,Image 1,1,55487,
103.226,,Spot,4,Image 1,1,55488,
89.2859,,Spot,4,Image 1,1,55491,
12.0652,,Spot,4,Image 1,1,55492,
469.007,,Spot,4,Image 1,1,55493,
282.439,,Spot,4,Image 1,1,55494,
81.9759,,Spot,4,Image 1,1,55495,
50.5213,,Spot,4,Image 1,1,55496,
180.294,,Spot,4,Image 1,1,55497,
95.5015,,Spot,4,Image 1,1,55498,
162.328,,Spot,4,Image 1,1,55499,
27.5005,,Spot,4,Image 1,1,55500,
104.503,,Spot,4,Image 1,1,55501,
72.4058,,Spot,4,Image 1,1,55502,
84.9712,,Spot,4,Image 1,1,55503,
88.0581,,Spot,4,Image 1,1,55505,
58.9982,,Spot,4,Image 1,1,55506,
22.6026,,Spot,4,Image 1,1,55507,
44.8773,,Spot,4,Image 1,1,55508,
49.4269,,Spot,4,Image 1,1,55509,
79.9707,,Spot,4,Image 1,1,55511,
129.243,,Spot,4,Image 1,1,55512,
147.305,,Spot,4,Image 1,1,55513,
146.271,,Spot,4,Image 1,1,55514,
124.138,,Spot,4,Image 1,1,55515,
141.862,,Spot,4,Image 1,1,55517,
212.998,,Spot,4,Image 1,1,55519,
14.5472,,Spot,4,Image 1,1,55520,
101.128,,Spot,4,Image 1,1,55521,
193.12,,Spot,4,Image 1,1,55524,
220.897,,Spot,4,Image 1,1,55525,
18.3348,,Spot,4,Image 1,1,55526,
103.788,,Spot,4,Image 1,1,55528,
154.305,,Spot,4,Image 1,1,55529,
84.8311,,Spot,4,Image 1,1,55532,
303.144,,Spot,4,Image 1,1,55533,
290.483,,Spot,4,Image 1,1,55534,
139.825,,Spot,4,Image 1,1,55535,
88.3725,,Spot,4,Image 1,1,55536,
121.22,,Spot,4,Image 1,1,55537,
35.0536,,Spot,4,Image 1,1,55538,
19.3792,,Spot,4,Image 1,1,55539,
67.6393,,Spot,4,Image 1,1,55540,
88.785,,Spot,4,Image 1,1,55541,
89.6996,,Spot,4,Image 1,1,55542,
27.0926,,Spot,4,Image 1,1,55543,
89.6199,,Spot,4,Image 1,1,55544,
115.737,,Spot,4,Image 1,1,55545,
15.3718,,Spot,4,Image 1,1,55546,
139.708,,Spot,4,Image 1,1,55548,
195.835,,Spot,4,Image 1,1,55549,
190.67,,Spot,4,Image 1,1,55550,
176.603,,Spot,4,Image 1,1,55551,
51.7059,,Spot,4,Image 1,1,55552,
131.16,,Spot,4,Image 1,1,55553,
137.876,,Spot,4,Image 1,1,55554,
128.688,,Spot,4,Image 1,1,55555,
88.2297,,Spot,4,Image 1,1,55556,
212.488,,Spot,4,Image 1,1,55557,
72.5393,,Spot,4,Image 1,1,55558,
251.835,,Spot,4,Image 1,1,55559,
202.459,,Spot,4,Image 1,1,55560,
188.794,,Spot,4,Image 1,1,55561,
96.7838,,Spot,4,Image 1,1,55562,
23.1337,,Spot,4,Image 1,1,55563,
200.437,,Spot,4,Image 1,1,55564,
171.81,,Spot,4,Image 1,1,55565,
107.831,,Spot,4,Image 1,1,55566,
44.7074,,Spot,4,Image 1,1,55568,
43.6783,,Spot,4,Image 1,1,55569,
172.007,,Spot,4,Image 1,1,55570,
98.8617,,Spot,4,Image 1,1,55571,
105.658,,Spot,4,Image 1,1,55572,
129.271,,Spot,4,Image 1,1,55573,
92.6481,,Spot,4,Image 1,1,55574,
84.49,,Spot,4,Image 1,1,55576,
120.7,,Spot,4,Image 1,1,55577,
11.5463,,Spot,4,Image 1,1,55578,
105.773,,Spot,4,Image 1,1,55579,
14.9767,,Spot,4,Image 1,1,55580,
54.028,,Spot,4,Image 1,1,55581,
72.1219,,Spot,4,Image 1,1,55582,
177.937,,Spot,4,Image 1,2,55583,
86.7124,,Spot,4,Image 1,2,55584,
117.179,,Spot,4,Image 1,2,55585,
63.4664,,Spot,4,Image 1,2,55586,
40.6794,,Spot,4,Image 1,2,55587,
76.0034,,Spot,4,Image 1,2,55588,
46.3789,,Spot,4,Image 1,2,55589,
251.702,,Spot,4,Image 1,2,55590,
110.899,,Spot,4,Image 1,2,55591,
150.281,,Spot,4,Image 1,2,55592,
72.8375,,Spot,4,Image 1,2,55593,
54.885,,Spot,4,Image 1,2,55594,
40.8107,,Spot,4,Image 1,2,55595,
68.7321,,Spot,4,Image 1,2,55596,
111.323,,Spot,4,Image 1,2,55597,
90.2613,,Spot,4,Image 1,2,55598,
46.1133,,Spot,4,Image 1,2,55599,
