
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
26.2189,um,Spot,Image 1,1,53221,
10.2777,um,Spot,Image 1,1,53222,
19.6683,um,Spot,Image 1,1,53225,
43.3915,um,Spot,Image 1,1,53226,
29.2485,um,Spot,Image 1,1,53227,
25.2023,um,Spot,Image 1,1,53228,
21.6871,um,Spot,Image 1,1,53229,
40.4308,um,Spot,Image 1,1,53230,
32.5904,um,Spot,Image 1,1,53231,
22.461,um,Spot,Image 1,1,53232,
37.0464,um,Spot,Image 1,1,53233,
37.0464,um,Spot,Image 1,1,53234,
35.0412,um,Spot,Image 1,1,53235,
21.5795,um,Spot,Image 1,2,53236,
16.64,um,Spot,Image 1,2,53237,
18.1838,um,Spot,Image 1,2,53238,
24.9123,um,Spot,Image 1,2,53239,
19.5002,um,Spot,Image 1,2,53240,
17.3961,um,Spot,Image 1,2,53241,
22.7486,um,Spot,Image 1,2,53242,
19.4776,um,Spot,Image 1,2,53243,
17.2378,um,Spot,Image 1,2,53244,
23.5385,um,Spot,Image 1,2,53245,
17.6183,um,Spot,Image 1,2,53246,
17.7401,um,Spot,Image 1,2,53247,
16.4871,um,Spot,Image 1,2,53248,
24.438,um,Spot,Image 1,2,53249,
18.1456,um,Spot,Image 1,2,53250,
16.1781,um,Spot,Image 1,2,53251,
23.4358,um,Spot,Image 1,2,53252,
28.0505,um,Spot,Image 1,2,53253,
29.7795,um,Spot,Image 1,2,53254,
32.4962,um,Spot,Image 1,2,53255,
32.4243,um,Spot,Image 1,2,53256,
39.2408,um,Spot,Image 1,2,53257,
34.7441,um,Spot,Image 1,2,53258,
40.9254,um,Spot,Image 1,2,53259,
30.0017,um,Spot,Image 1,2,53260,
37.4432,um,Spot,Image 1,2,53261,
31.6293,um,Spot,Image 1,2,53262,
26.5549,um,Spot,Image 1,2,53263,
33.5023,um,Spot,Image 1,2,53264,
39.1936,um,Spot,Image 1,2,53265,
40.716,um,Spot,Image 1,2,53266,
40.9103,um,Spot,Image 1,2,53267,
40.7746,um,Spot,Image 1,2,53268,
41.7824,um,Spot,Image 1,2,53269,
28.2365,um,Spot,Image 1,2,53270,
28.6275,um,Spot,Image 1,2,53271,
40.1737,um,Spot,Image 1,2,53272,
26.7011,um,Spot,Image 1,2,53273,
39.6471,um,Spot,Image 1,2,53274,
40.9195,um,Spot,Image 1,2,53275,
20.9171,um,Spot,Image 1,2,53276,
30.0061,um,Spot,Image 1,2,53277,
32.3198,um,Spot,Image 1,2,53278,
19.882,um,Spot,Image 1,2,53279,
30.1099,um,Spot,Image 1,2,53280,
27.2354,um,Spot,Image 1,2,53281,
24.7021,um,Spot,Image 1,2,53282,
38.8536,um,Spot,Image 1,2,53283,
33.8774,um,Spot,Image 1,2,53284,
38.7758,um,Spot,Image 1,2,53285,
28.9685,um,Spot,Image 1,2,53286,
22.1131,um,Spot,Image 1,2,53287,
17.3232,um,Spot,Image 1,2,53288,
18.8643,um,Spot,Image 1,2,53289,
24.9061,um,Spot,Image 1,2,53290,
18.0056,um,Spot,Image 1,2,53291,
37.0045,um,Spot,Image 1,2,53292,
36.4143,um,Spot,Image 1,2,53293,
23.3993,um,Spot,Image 1,2,53294,
20.3749,um,Spot,Image 1,2,53295,
19.6162,um,Spot,Image 1,2,53296,
28.5549,um,Spot,Image 1,2,53297,
20.0641,um,Spot,Image 1,2,53298,
26.9818,um,Spot,Image 1,2,53299,
20.63,um,Spot,Image 1,2,53300,
26.927,um,Spot,Image 1,2,53301,
30.9121,um,Spot,Image 1,2,53302,
30.2165,um,Spot,Image 1,2,53303,
21.0214,um,Spot,Image 1,2,53304,
28.3861,um,Spot,Image 1,2,53305,
38.3433,um,Spot,Image 1,2,53306,
34.6473,um,Spot,Image 1,2,53307,
20.4433,um,Spot,Image 1,2,53308,
30.7048,um,Spot,Image 1,2,53309,
25.1017,um,Spot,Image 1,2,53310,
37.4258,um,Spot,Image 1,2,53311,
30.782,um,Spot,Image 1,2,53312,
29.8177,um,Spot,Image 1,2,53313,
22.1603,um,Spot,Image 1,2,53314,
24.5463,um,Spot,Image 1,2,53315,
16.352,um,Spot,Image 1,2,53316,
29.4669,um,Spot,Image 1,2,53317,
20.5219,um,Spot,Image 1,2,53318,
19.3757,um,Spot,Image 1,2,53319,
18.9977,um,Spot,Image 1,2,53320,
33.679,um,Spot,Image 1,2,53321,
18.5938,um,Spot,Image 1,2,53322,
29.2704,um,Spot,Image 1,2,53323,
24.9236,um,Spot,Image 1,2,53324,
17.5752,um,Spot,Image 1,2,53325,
16.1575,um,Spot,Image 1,2,53326,
22.2037,um,Spot,Image 1,2,53327,
16.8134,um,Spot,Image 1,2,53328,
17.8746,um,Spot,Image 1,2,53329,
19.6182,um,Spot,Image 1,2,53330,
23.2387,um,Spot,Image 1,2,53331,
19.1035,um,Spot,Image 1,2,53332,
31.5802,um,Spot,Image 1,2,53333,
37.7723,um,Spot,Image 1,2,53334,
44.3638,um,Spot,Image 1,2,53335,
27.2945,um,Spot,Image 1,2,53336,
34.2436,um,Spot,Image 1,2,53337,
40.1409,um,Spot,Image 1,2,53338,
28.6419,um,Spot,Image 1,2,53339,
35.071,um,Spot,Image 1,2,53340,
27.1967,um,Spot,Image 1,2,53341,
28.5158,um,Spot,Image 1,2,53342,
35.2057,um,Spot,Image 1,2,53343,
35.1501,um,Spot,Image 1,2,53344,
27.2641,um,Spot,Image 1,2,53345,
26.5913,um,Spot,Image 1,2,53346,
41.3425,um,Spot,Image 1,2,53347,
36.7318,um,Spot,Image 1,2,53348,
41.3117,um,Spot,Image 1,2,53349,
28.3008,um,Spot,Image 1,2,53350,
38.8722,um,Spot,Image 1,2,53351,
27.5516,um,Spot,Image 1,2,53352,
26.242,um,Spot,Image 1,2,53353,
24.6136,um,Spot,Image 1,2,53354,
32.5938,um,Spot,Image 1,2,53355,
37.4296,um,Spot,Image 1,2,53356,
32.1704,um,Spot,Image 1,2,53357,
22.8384,um,Spot,Image 1,2,53358,
20.7498,um,Spot,Image 1,2,53359,
23.7624,um,Spot,Image 1,2,53360,
29.0452,um,Spot,Image 1,2,53361,
16.5675,um,Spot,Image 1,2,53362,
21.3288,um,Spot,Image 1,2,53363,
38.4868,um,Spot,Image 1,2,53364,
26.3615,um,Spot,Image 1,2,53365,
24.2716,um,Spot,Image 1,2,53366,
28.5184,um,Spot,Image 1,2,53367,
31.7113,um,Spot,Image 1,2,53368,
19.8029,um,Spot,Image 1,2,53369,
33.2776,um,Spot,Image 1,2,53370,
24.196,um,Spot,Image 1,2,53371,
27.4082,um,Spot,Image 1,2,53372,
21.5,um,Spot,Image 1,2,53373,
38.9522,um,Spot,Image 1,2,53374,
21.864,um,Spot,Image 1,2,53375,
33.7367,um,Spot,Image 1,2,53376,
19.5689,um,Spot,Image 1,2,53377,
39.7244,um,Spot,Image 1,2,53378,
21.1349,um,Spot,Image 1,2,53379,
32.6275,um,Spot,Image 1,2,53380,
18.3152,um,Spot,Image 1,2,53381,
16.1714,um,Spot,Image 1,2,53382,
16.3265,um,Spot,Image 1,2,53383,
22.8609,um,Spot,Image 1,2,53384,
19.6152,um,Spot,Image 1,2,53385,
20.1369,um,Spot,Image 1,2,53386,
20.3514,um,Spot,Image 1,2,53387,
21.692,um,Spot,Image 1,2,53388,
25.1068,um,Spot,Image 1,2,53389,
23.9029,um,Spot,Image 1,2,53390,
29.1023,um,Spot,Image 1,2,53391,
31.4364,um,Spot,Image 1,2,53392,
39.3947,um,Spot,Image 1,2,53393,
40.1259,um,Spot,Image 1,2,53394,
43.2632,um,Spot,Image 1,2,53395,
46.0965,um,Spot,Image 1,2,53396,
35.0569,um,Spot,Image 1,2,53397,
30.0954,um,Spot,Image 1,2,53398,
36.0916,um,Spot,Image 1,2,53399,
40.4634,um,Spot,Image 1,2,53400,
41.7393,um,Spot,Image 1,2,53401,
29.9516,um,Spot,Image 1,2,53402,
27.8402,um,Spot,Image 1,2,53403,
42.5728,um,Spot,Image 1,2,53404,
29.8585,um,Spot,Image 1,2,53405,
41.6555,um,Spot,Image 1,2,53406,
45.997,um,Spot,Image 1,2,53407,
31.0963,um,Spot,Image 1,2,53408,
43.8722,um,Spot,Image 1,2,53409,
30.2565,um,Spot,Image 1,2,53410,
24.4818,um,Spot,Image 1,2,53411,
17.5967,um,Spot,Image 1,2,53412,
33.0314,um,Spot,Image 1,2,53413,
23.0314,um,Spot,Image 1,2,53414,
32.5572,um,Spot,Image 1,2,53415,
26.5813,um,Spot,Image 1,2,53416,
24.6518,um,Spot,Image 1,2,53417,
34.3176,um,Spot,Image 1,2,53418,
16.6257,um,Spot,Image 1,2,53419,
36.0653,um,Spot,Image 1,2,53420,
37.1983,um,Spot,Image 1,2,53421,
28.8536,um,Spot,Image 1,2,53422,
25.4306,um,Spot,Image 1,2,53423,
20.5286,um,Spot,Image 1,2,53424,
17.2317,um,Spot,Image 1,2,53425,
23.3167,um,Spot,Image 1,2,53426,
29.2532,um,Spot,Image 1,2,53427,
23.0725,um,Spot,Image 1,2,53428,
38.2758,um,Spot,Image 1,2,53429,
31.9854,um,Spot,Image 1,2,53430,
23.8613,um,Spot,Image 1,2,53431,
20.8002,um,Spot,Image 1,2,53432,
38.6113,um,Spot,Image 1,2,53433,
30.0172,um,Spot,Image 1,2,53434,
16.2514,um,Spot,Image 1,2,53435,
25.8222,um,Spot,Image 1,2,53436,
18.1164,um,Spot,Image 1,2,53437,
19.0241,um,Spot,Image 1,2,53438,
22.7692,um,Spot,Image 1,2,53439,
31.045,um,Spot,Image 1,2,53440,
41.6464,um,Spot,Image 1,2,53441,
32.3243,um,Spot,Image 1,2,53442,
43.8793,um,Spot,Image 1,2,53443,
36.3077,um,Spot,Image 1,2,53444,
42.2154,um,Spot,Image 1,2,53445,
32.8912,um,Spot,Image 1,2,53446,
36.2933,um,Spot,Image 1,2,53447,
45.4426,um,Spot,Image 1,2,53448,
39.3711,um,Spot,Image 1,2,53449,
42.6016,um,Spot,Image 1,2,53450,
42.2545,um,Spot,Image 1,2,53451,
40.2248,um,Spot,Image 1,2,53452,
45.3102,um,Spot,Image 1,2,53453,
35.7799,um,Spot,Image 1,2,53454,
27.2718,um,Spot,Image 1,2,53455,
18.1454,um,Spot,Image 1,2,53456,
39.3299,um,Spot,Image 1,2,53457,
42.6587,um,Spot,Image 1,2,53458,
32.0405,um,Spot,Image 1,2,53459,
28.7612,um,Spot,Image 1,2,53460,
37.5784,um,Spot,Image 1,2,53461,
