
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
2283,,Spot,2,Image 1,2,53295,
5235,,Spot,2,Image 1,2,53296,
3031,,Spot,2,Image 1,2,53297,
1543,,Spot,2,Image 1,2,53298,
2889,,Spot,2,Image 1,2,53299,
2740,,Spot,2,Image 1,2,53300,
1777,,Spot,2,Image 1,2,53301,
1775,,Spot,2,Image 1,2,53302,
2746,,Spot,2,Image 1,2,53303,
3293,,Spot,2,Image 1,2,53304,
3978,,Spot,2,Image 1,2,53305,
3593,,Spot,2,Image 1,2,53306,
2488,,Spot,2,Image 1,2,53307,
1418,,Spot,2,Image 1,2,53308,
2531,,Spot,2,Image 1,2,53309,
4042,,Spot,2,Image 1,2,53310,
2839,,Spot,2,Image 1,2,53311,
4019,,Spot,2,Image 1,2,53312,
1280,,Spot,2,Image 1,2,53313,
1955,,Spot,2,Image 1,2,53314,
1678,,Spot,2,Image 1,2,53315,
1939,,Spot,2,Image 1,2,53316,
3620,,Spot,2,Image 1,2,53317,
2718,,Spot,2,Image 1,2,53318,
2146,,Spot,2,Image 1,2,53319,
2551,,Spot,2,Image 1,2,53320,
2649,,Spot,2,Image 1,2,53321,
2142,,Spot,2,Image 1,2,53322,
3221,,Spot,2,Image 1,2,53323,
3592,,Spot,2,Image 1,2,53324,
1115,,Spot,2,Image 1,2,53325,
4446,,Spot,2,Image 1,2,53326,
1850,,Spot,2,Image 1,2,53327,
2643,,Spot,2,Image 1,2,53328,
4607,,Spot,2,Image 1,2,53329,
3895,,Spot,2,Image 1,2,53330,
2050,,Spot,2,Image 1,2,53331,
2853,,Spot,2,Image 1,2,53332,
3134,,Spot,2,Image 1,2,53333,
2460,,Spot,2,Image 1,2,53334,
6951,,Spot,2,Image 1,2,53335,
3932,,Spot,2,Image 1,2,53336,
4030,,Spot,2,Image 1,2,53337,
3103,,Spot,2,Image 1,2,53338,
3199,,Spot,2,Image 1,2,53339,
3373,,Spot,2,Image 1,2,53340,
8587,,Spot,2,Image 1,2,53341,
5534,,Spot,2,Image 1,2,53342,
2817,,Spot,2,Image 1,2,53343,
3181,,Spot,2,Image 1,2,53344,
2349,,Spot,2,Image 1,2,53345,
3568,,Spot,2,Image 1,2,53346,
2388,,Spot,2,Image 1,2,53347,
5074,,Spot,2,Image 1,2,53348,
2727,,Spot,2,Image 1,2,53349,
2938,,Spot,2,Image 1,2,53350,
2185,,Spot,2,Image 1,2,53351,
1840,,Spot,2,Image 1,2,53352,
2119,,Spot,2,Image 1,2,53353,
2668,,Spot,2,Image 1,2,53354,
2371,,Spot,2,Image 1,2,53355,
3042,,Spot,2,Image 1,2,53356,
6766,,Spot,2,Image 1,2,53357,
1464,,Spot,2,Image 1,2,53358,
2131,,Spot,2,Image 1,2,53359,
841,,Spot,2,Image 1,2,53360,
2003,,Spot,2,Image 1,2,53361,
4302,,Spot,2,Image 1,2,53362,
4493,,Spot,2,Image 1,2,53363,
2226,,Spot,2,Image 1,2,53364,
2124,,Spot,2,Image 1,2,53365,
2904,,Spot,2,Image 1,2,53366,
3273,,Spot,2,Image 1,2,53367,
3474,,Spot,2,Image 1,2,53368,
1887,,Spot,2,Image 1,2,53369,
2820,,Spot,2,Image 1,2,53370,
2700,,Spot,2,Image 1,2,53371,
3284,,Spot,2,Image 1,2,53372,
2473,,Spot,2,Image 1,2,53373,
2002,,Spot,2,Image 1,2,53374,
4937,,Spot,2,Image 1,2,53375,
1421,,Spot,2,Image 1,2,53376,
1538,,Spot,2,Image 1,2,53377,
5735,,Spot,2,Image 1,2,53378,
2233,,Spot,2,Image 1,2,53379,
2925,,Spot,2,Image 1,2,53380,
1353,,Spot,2,Image 1,2,53381,
1389,,Spot,2,Image 1,2,53382,
2888,,Spot,2,Image 1,2,53383,
3603,,Spot,2,Image 1,2,53384,
3795,,Spot,2,Image 1,2,53385,
2202,,Spot,2,Image 1,2,53386,
724,,Spot,2,Image 1,2,53387,
3544,,Spot,2,Image 1,2,53388,
2385,,Spot,2,Image 1,2,53389,
1412,,Spot,2,Image 1,2,53390,
3011,,Spot,2,Image 1,2,53391,
3029,,Spot,2,Image 1,2,53392,
2497,,Spot,2,Image 1,2,53393,
2201,,Spot,2,Image 1,2,53394,
2703,,Spot,2,Image 1,2,53395,
2497,,Spot,2,Image 1,2,53396,
2821,,Spot,2,Image 1,2,53397,
2971,,Spot,2,Image 1,2,53398,
1707,,Spot,2,Image 1,2,53399,
5294,,Spot,2,Image 1,2,53400,
5287,,Spot,2,Image 1,2,53401,
4835,,Spot,2,Image 1,2,53402,
4860,,Spot,2,Image 1,2,53403,
3564,,Spot,2,Image 1,2,53404,
5173,,Spot,2,Image 1,2,53405,
2325,,Spot,2,Image 1,2,53406,
3986,,Spot,2,Image 1,2,53407,
4632,,Spot,2,Image 1,2,53408,
3898,,Spot,2,Image 1,2,53409,
3469,,Spot,2,Image 1,2,53410,
4681,,Spot,2,Image 1,2,53411,
3691,,Spot,2,Image 1,2,53412,
5924,,Spot,2,Image 1,2,53413,
2190,,Spot,2,Image 1,2,53414,
3414,,Spot,2,Image 1,2,53415,
6353,,Spot,2,Image 1,2,53416,
3156,,Spot,2,Image 1,2,53417,
3289,,Spot,2,Image 1,2,53418,
1909,,Spot,2,Image 1,2,53419,
4211,,Spot,2,Image 1,2,53420,
2376,,Spot,2,Image 1,2,53421,
5685,,Spot,2,Image 1,2,53422,
3546,,Spot,2,Image 1,2,53423,
3885,,Spot,2,Image 1,2,53424,
1806,,Spot,2,Image 1,2,53425,
1655,,Spot,2,Image 1,2,53426,
3025,,Spot,2,Image 1,2,53427,
3721,,Spot,2,Image 1,2,53428,
2114,,Spot,2,Image 1,2,53429,
3231,,Spot,2,Image 1,2,53430,
