
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Spot,4,Image 1,2,53273,
0,,Spot,4,Image 1,2,53274,
0,,Spot,4,Image 1,2,53275,
0,,Spot,4,Image 1,2,53276,
0,,Spot,4,Image 1,2,53277,
0,,Spot,4,Image 1,2,53278,
0,,Spot,4,Image 1,2,53279,
0,,Spot,4,Image 1,2,53280,
0,,Spot,4,Image 1,2,53281,
0,,Spot,4,Image 1,2,53282,
0,,Spot,4,Image 1,2,53283,
0,,Spot,4,Image 1,2,53284,
0,,Spot,4,Image 1,2,53285,
0,,Spot,4,Image 1,2,53286,
0,,Spot,4,Image 1,2,53287,
0,,Spot,4,Image 1,2,53288,
0,,Spot,4,Image 1,2,53289,
0,,Spot,4,Image 1,2,53290,
0,,Spot,4,Image 1,2,53291,
0,,Spot,4,Image 1,2,53292,
0,,Spot,4,Image 1,2,53293,
0,,Spot,4,Image 1,2,53294,
0,,Spot,4,Image 1,2,53295,
0,,Spot,4,Image 1,2,53296,
0,,Spot,4,Image 1,2,53297,
0,,Spot,4,Image 1,2,53298,
0,,Spot,4,Image 1,2,53299,
0,,Spot,4,Image 1,2,53300,
0,,Spot,4,Image 1,2,53301,
0,,Spot,4,Image 1,2,53302,
0,,Spot,4,Image 1,2,53303,
0,,Spot,4,Image 1,2,53304,
0,,Spot,4,Image 1,2,53305,
0,,Spot,4,Image 1,2,53306,
0,,Spot,4,Image 1,2,53307,
0,,Spot,4,Image 1,2,53308,
0,,Spot,4,Image 1,2,53309,
0,,Spot,4,Image 1,2,53310,
0,,Spot,4,Image 1,2,53311,
0,,Spot,4,Image 1,2,53312,
0,,Spot,4,Image 1,2,53313,
0,,Spot,4,Image 1,2,53314,
0,,Spot,4,Image 1,2,53315,
0,,Spot,4,Image 1,2,53316,
0,,Spot,4,Image 1,2,53317,
0,,Spot,4,Image 1,2,53318,
0,,Spot,4,Image 1,2,53319,
0,,Spot,4,Image 1,2,53320,
0,,Spot,4,Image 1,2,53321,
0,,Spot,4,Image 1,2,53322,
0,,Spot,4,Image 1,2,53323,
0,,Spot,4,Image 1,2,53324,
0,,Spot,4,Image 1,2,53325,
0,,Spot,4,Image 1,2,53326,
0,,Spot,4,Image 1,2,53327,
0,,Spot,4,Image 1,2,53328,
0,,Spot,4,Image 1,2,53329,
0,,Spot,4,Image 1,2,53330,
0,,Spot,4,Image 1,2,53331,
0,,Spot,4,Image 1,2,53332,
0,,Spot,4,Image 1,2,53333,
0,,Spot,4,Image 1,2,53334,
0,,Spot,4,Image 1,2,53335,
0,,Spot,4,Image 1,2,53336,
0,,Spot,4,Image 1,2,53337,
0,,Spot,4,Image 1,2,53338,
0,,Spot,4,Image 1,2,53339,
0,,Spot,4,Image 1,2,53340,
0,,Spot,4,Image 1,2,53341,
0,,Spot,4,Image 1,2,53342,
0,,Spot,4,Image 1,2,53343,
0,,Spot,4,Image 1,2,53344,
