
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
1566,,Spot,Image 1,2,53238,
2680,,Spot,Image 1,2,53239,
2749,,Spot,Image 1,2,53240,
1569,,Spot,Image 1,2,53241,
1571,,Spot,Image 1,2,53242,
2741,,Spot,Image 1,2,53243,
2737,,Spot,Image 1,2,53244,
1567,,Spot,Image 1,2,53245,
1576,,Spot,Image 1,2,53246,
1574,,Spot,Image 1,2,53247,
2747,,Spot,Image 1,2,53248,
2741,,Spot,Image 1,2,53249,
2740,,Spot,Image 1,2,53250,
2743,,Spot,Image 1,2,53251,
2750,,Spot,Image 1,2,53252,
1568,,Spot,Image 1,2,53253,
1573,,Spot,Image 1,2,53254,
1569,,Spot,Image 1,2,53255,
1574,,Spot,Image 1,2,53256,
1575,,Spot,Image 1,2,53257,
1566,,Spot,Image 1,2,53258,
1563,,Spot,Image 1,2,53259,
2744,,Spot,Image 1,2,53260,
2745,,Spot,Image 1,2,53261,
2742,,Spot,Image 1,2,53262,
2738,,Spot,Image 1,2,53263,
2749,,Spot,Image 1,2,53264,
1567,,Spot,Image 1,2,53265,
1563,,Spot,Image 1,2,53266,
1568,,Spot,Image 1,2,53267,
1570,,Spot,Image 1,2,53268,
1823,,Spot,Image 1,2,53269,
2739,,Spot,Image 1,2,53270,
2749,,Spot,Image 1,2,53271,
2745,,Spot,Image 1,2,53272,
2741,,Spot,Image 1,2,53273,
2751,,Spot,Image 1,2,53274,
2757,,Spot,Image 1,2,53275,
1567,,Spot,Image 1,2,53276,
1568,,Spot,Image 1,2,53277,
1568,,Spot,Image 1,2,53278,
2055,,Spot,Image 1,2,53279,
2566,,Spot,Image 1,2,53280,
2706,,Spot,Image 1,2,53281,
2749,,Spot,Image 1,2,53282,
2755,,Spot,Image 1,2,53283,
2750,,Spot,Image 1,2,53284,
2753,,Spot,Image 1,2,53285,
2738,,Spot,Image 1,2,53286,
1576,,Spot,Image 1,2,53287,
1569,,Spot,Image 1,2,53288,
2531,,Spot,Image 1,2,53289,
2639,,Spot,Image 1,2,53290,
2761,,Spot,Image 1,2,53291,
1569,,Spot,Image 1,2,53292,
1570,,Spot,Image 1,2,53293,
1567,,Spot,Image 1,2,53294,
1569,,Spot,Image 1,2,53295,
1574,,Spot,Image 1,2,53296,
2141,,Spot,Image 1,2,53297,
2743,,Spot,Image 1,2,53298,
2743,,Spot,Image 1,2,53299,
2750,,Spot,Image 1,2,53300,
2742,,Spot,Image 1,2,53301,
1572,,Spot,Image 1,2,53302,
1566,,Spot,Image 1,2,53303,
1579,,Spot,Image 1,2,53304,
2030,,Spot,Image 1,2,53305,
2751,,Spot,Image 1,2,53306,
2753,,Spot,Image 1,2,53307,
2754,,Spot,Image 1,2,53308,
2749,,Spot,Image 1,2,53309,
2750,,Spot,Image 1,2,53310,
1576,,Spot,Image 1,2,53311,
1575,,Spot,Image 1,2,53312,
1563,,Spot,Image 1,2,53313,
1572,,Spot,Image 1,2,53314,
1579,,Spot,Image 1,2,53315,
1576,,Spot,Image 1,2,53316,
2674,,Spot,Image 1,2,53317,
2749,,Spot,Image 1,2,53318,
2752,,Spot,Image 1,2,53319,
2742,,Spot,Image 1,2,53320,
2739,,Spot,Image 1,2,53321,
2753,,Spot,Image 1,2,53322,
2742,,Spot,Image 1,2,53323,
2743,,Spot,Image 1,2,53324,
2746,,Spot,Image 1,2,53325,
2746,,Spot,Image 1,2,53326,
2743,,Spot,Image 1,2,53327,
2745,,Spot,Image 1,2,53328,
2741,,Spot,Image 1,2,53329,
2743,,Spot,Image 1,2,53330,
2750,,Spot,Image 1,2,53331,
2755,,Spot,Image 1,2,53332,
2752,,Spot,Image 1,2,53333,
2750,,Spot,Image 1,2,53334,
2751,,Spot,Image 1,2,53335,
2738,,Spot,Image 1,2,53336,
2762,,Spot,Image 1,2,53337,
2746,,Spot,Image 1,2,53338,
2745,,Spot,Image 1,2,53339,
2754,,Spot,Image 1,2,53340,
2756,,Spot,Image 1,2,53341,
2758,,Spot,Image 1,2,53342,
2738,,Spot,Image 1,2,53343,
2751,,Spot,Image 1,2,53344,
2756,,Spot,Image 1,2,53345,
2765,,Spot,Image 1,2,53346,
2740,,Spot,Image 1,2,53347,
2742,,Spot,Image 1,2,53348,
2742,,Spot,Image 1,2,53349,
2740,,Spot,Image 1,2,53350,
2742,,Spot,Image 1,2,53351,
