
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1554.43,,Spot,2,Image 1,1,53206,
1851.93,,Spot,2,Image 1,1,53207,
1568.06,,Spot,2,Image 1,1,53208,
1191.92,,Spot,2,Image 1,1,53209,
2929.67,,Spot,2,Image 1,1,53210,
496.309,,Spot,2,Image 1,1,53211,
202.992,,Spot,2,Image 1,1,53212,
290.646,,Spot,2,Image 1,1,53213,
274.516,,Spot,2,Image 1,1,53214,
453.198,,Spot,2,Image 1,1,53215,
358.097,,Spot,2,Image 1,1,53216,
1497.31,,Spot,2,Image 1,1,53217,
1869.72,,Spot,2,Image 1,1,53218,
1691.33,,Spot,2,Image 1,1,53219,
1430.96,,Spot,2,Image 1,1,53220,
1745.65,,Spot,2,Image 1,1,53221,
1663.28,,Spot,2,Image 1,1,53222,
1601.56,,Spot,2,Image 1,1,53225,
592.755,,Spot,2,Image 1,1,53226,
1742.85,,Spot,2,Image 1,1,53227,
2016.47,,Spot,2,Image 1,1,53228,
1669.07,,Spot,2,Image 1,1,53229,
2514.89,,Spot,2,Image 1,1,53230,
2576.5,,Spot,2,Image 1,1,53231,
1100.01,,Spot,2,Image 1,1,53232,
1790.38,,Spot,2,Image 1,1,53233,
2300.59,,Spot,2,Image 1,1,53234,
2238.84,,Spot,2,Image 1,1,53235,
1349.63,,Spot,2,Image 1,2,53236,
1437.21,,Spot,2,Image 1,2,53237,
3189.02,,Spot,2,Image 1,2,53238,
2000.52,,Spot,2,Image 1,2,53239,
1723.76,,Spot,2,Image 1,2,53240,
1915.81,,Spot,2,Image 1,2,53241,
3449.17,,Spot,2,Image 1,2,53242,
1243.9,,Spot,2,Image 1,2,53243,
2840.18,,Spot,2,Image 1,2,53244,
2007.78,,Spot,2,Image 1,2,53245,
2104.41,,Spot,2,Image 1,2,53246,
2628.25,,Spot,2,Image 1,2,53247,
2644.61,,Spot,2,Image 1,2,53248,
2366.41,,Spot,2,Image 1,2,53249,
2589.55,,Spot,2,Image 1,2,53250,
2507.37,,Spot,2,Image 1,2,53251,
2408.82,,Spot,2,Image 1,2,53252,
2052.72,,Spot,2,Image 1,2,53253,
2376.4,,Spot,2,Image 1,2,53254,
2892.08,,Spot,2,Image 1,2,53255,
2829.76,,Spot,2,Image 1,2,53256,
2529.01,,Spot,2,Image 1,2,53257,
2772.66,,Spot,2,Image 1,2,53258,
2852.85,,Spot,2,Image 1,2,53259,
2654.66,,Spot,2,Image 1,2,53260,
2618.31,,Spot,2,Image 1,2,53261,
2980.38,,Spot,2,Image 1,2,53262,
2234.1,,Spot,2,Image 1,2,53263,
2541.53,,Spot,2,Image 1,2,53264,
1610.77,,Spot,2,Image 1,2,53265,
1996.64,,Spot,2,Image 1,2,53266,
1335.38,,Spot,2,Image 1,2,53267,
2084.28,,Spot,2,Image 1,2,53268,
1351,,Spot,2,Image 1,2,53269,
3335.92,,Spot,2,Image 1,2,53270,
3355.95,,Spot,2,Image 1,2,53271,
2311.63,,Spot,2,Image 1,2,53272,
1655.49,,Spot,2,Image 1,2,53273,
2180.37,,Spot,2,Image 1,2,53274,
1307.92,,Spot,2,Image 1,2,53275,
