
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
832.211,,Spot,2,Image 1,1,53229,
806.58,,Spot,2,Image 1,1,53230,
1019.56,,Spot,2,Image 1,1,53231,
591.567,,Spot,2,Image 1,1,53232,
693.895,,Spot,2,Image 1,1,53233,
879.201,,Spot,2,Image 1,1,53234,
733.05,,Spot,2,Image 1,1,53235,
811.06,,Spot,2,Image 1,2,53236,
743.946,,Spot,2,Image 1,2,53237,
997.203,,Spot,2,Image 1,2,53238,
860.37,,Spot,2,Image 1,2,53239,
788.054,,Spot,2,Image 1,2,53240,
851.463,,Spot,2,Image 1,2,53241,
1049.31,,Spot,2,Image 1,2,53242,
548.635,,Spot,2,Image 1,2,53243,
955.787,,Spot,2,Image 1,2,53244,
904.95,,Spot,2,Image 1,2,53245,
960.49,,Spot,2,Image 1,2,53246,
970.926,,Spot,2,Image 1,2,53247,
907.19,,Spot,2,Image 1,2,53248,
890.048,,Spot,2,Image 1,2,53249,
953.41,,Spot,2,Image 1,2,53250,
966.403,,Spot,2,Image 1,2,53251,
889.463,,Spot,2,Image 1,2,53252,
880.048,,Spot,2,Image 1,2,53253,
952.258,,Spot,2,Image 1,2,53254,
997.437,,Spot,2,Image 1,2,53255,
992.799,,Spot,2,Image 1,2,53256,
943.81,,Spot,2,Image 1,2,53257,
1009.68,,Spot,2,Image 1,2,53258,
1166.32,,Spot,2,Image 1,2,53259,
901.633,,Spot,2,Image 1,2,53260,
927.512,,Spot,2,Image 1,2,53261,
996.141,,Spot,2,Image 1,2,53262,
877.266,,Spot,2,Image 1,2,53263,
1211.61,,Spot,2,Image 1,2,53264,
810.027,,Spot,2,Image 1,2,53265,
753.829,,Spot,2,Image 1,2,53266,
716.408,,Spot,2,Image 1,2,53267,
876.681,,Spot,2,Image 1,2,53268,
791.92,,Spot,2,Image 1,2,53269,
1025.4,,Spot,2,Image 1,2,53270,
1000.08,,Spot,2,Image 1,2,53271,
958.244,,Spot,2,Image 1,2,53272,
751.772,,Spot,2,Image 1,2,53273,
886.849,,Spot,2,Image 1,2,53274,
720.742,,Spot,2,Image 1,2,53275,
740.423,,Spot,2,Image 1,2,53276,
1130.28,,Spot,2,Image 1,2,53277,
692.756,,Spot,2,Image 1,2,53278,
662.308,,Spot,2,Image 1,2,53279,
1022.72,,Spot,2,Image 1,2,53280,
1010.46,,Spot,2,Image 1,2,53281,
866.639,,Spot,2,Image 1,2,53282,
1066.15,,Spot,2,Image 1,2,53283,
755.367,,Spot,2,Image 1,2,53284,
755.021,,Spot,2,Image 1,2,53285,
677.318,,Spot,2,Image 1,2,53286,
1009.92,,Spot,2,Image 1,2,53287,
717.935,,Spot,2,Image 1,2,53288,
940.652,,Spot,2,Image 1,2,53289,
825.579,,Spot,2,Image 1,2,53290,
828.584,,Spot,2,Image 1,2,53291,
3216.84,,Spot,2,Image 1,2,53292,
