
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.80091e+06,,Spot,4,Image 1,1,53172,
2.88577e+06,,Spot,4,Image 1,1,53173,
3.4466e+06,,Spot,4,Image 1,1,53174,
2.32457e+06,,Spot,4,Image 1,1,53175,
43049,,Spot,4,Image 1,1,53176,
78724,,Spot,4,Image 1,1,53177,
285772,,Spot,4,Image 1,1,53179,
321004,,Spot,4,Image 1,1,53180,
273986,,Spot,4,Image 1,1,53181,
929980,,Spot,4,Image 1,1,53182,
170064,,Spot,4,Image 1,1,53183,
135430,,Spot,4,Image 1,1,53184,
238206,,Spot,4,Image 1,1,53185,
213158,,Spot,4,Image 1,1,53186,
784025,,Spot,4,Image 1,1,53187,
231575,,Spot,4,Image 1,1,53188,
1.51497e+06,,Spot,4,Image 1,1,53189,
834897,,Spot,4,Image 1,1,53190,
670459,,Spot,4,Image 1,1,53191,
173751,,Spot,4,Image 1,1,53192,
764301,,Spot,4,Image 1,1,53193,
420215,,Spot,4,Image 1,1,53194,
2.13014e+06,,Spot,4,Image 1,1,53195,
1.31065e+06,,Spot,4,Image 1,1,53196,
1.90107e+06,,Spot,4,Image 1,1,53197,
78082,,Spot,4,Image 1,1,53198,
661501,,Spot,4,Image 1,1,53199,
197979,,Spot,4,Image 1,1,53200,
192081,,Spot,4,Image 1,1,53201,
3.77689e+06,,Spot,4,Image 1,1,53203,
3.16749e+06,,Spot,4,Image 1,1,53204,
230460,,Spot,4,Image 1,1,53205,
959785,,Spot,4,Image 1,1,53206,
412085,,Spot,4,Image 1,1,53207,
194922,,Spot,4,Image 1,1,53208,
591716,,Spot,4,Image 1,1,53209,
571997,,Spot,4,Image 1,1,53210,
2.34066e+06,,Spot,4,Image 1,1,53211,
3.03088e+06,,Spot,4,Image 1,1,53212,
2.80772e+06,,Spot,4,Image 1,1,53213,
2.14896e+06,,Spot,4,Image 1,1,53214,
3.81498e+06,,Spot,4,Image 1,1,53215,
1.73012e+06,,Spot,4,Image 1,1,53216,
411882,,Spot,4,Image 1,1,53217,
603636,,Spot,4,Image 1,1,53218,
124368,,Spot,4,Image 1,1,53219,
552975,,Spot,4,Image 1,1,53220,
556117,,Spot,4,Image 1,1,53221,
1.14127e+06,,Spot,4,Image 1,1,53222,
199011,,Spot,4,Image 1,1,53225,
2.31759e+06,,Spot,4,Image 1,1,53226,
648172,,Spot,4,Image 1,1,53227,
14892,,Spot,4,Image 1,1,53228,
565384,,Spot,4,Image 1,1,53229,
19436,,Spot,4,Image 1,1,53230,
846443,,Spot,4,Image 1,1,53231,
369069,,Spot,4,Image 1,1,53232,
581147,,Spot,4,Image 1,1,53233,
421697,,Spot,4,Image 1,1,53234,
336404,,Spot,4,Image 1,1,53235,
3.29462e+06,,Spot,4,Image 1,2,53236,
144699,,Spot,4,Image 1,2,53237,
4446,,Spot,4,Image 1,2,53238,
163051,,Spot,4,Image 1,2,53239,
154788,,Spot,4,Image 1,2,53240,
408791,,Spot,4,Image 1,2,53241,
53309,,Spot,4,Image 1,2,53242,
596768,,Spot,4,Image 1,2,53243,
132052,,Spot,4,Image 1,2,53244,
121822,,Spot,4,Image 1,2,53245,
235276,,Spot,4,Image 1,2,53246,
6461,,Spot,4,Image 1,2,53247,
37731,,Spot,4,Image 1,2,53248,
449014,,Spot,4,Image 1,2,53249,
5062,,Spot,4,Image 1,2,53250,
112166,,Spot,4,Image 1,2,53251,
52854,,Spot,4,Image 1,2,53252,
233100,,Spot,4,Image 1,2,53253,
65707,,Spot,4,Image 1,2,53254,
266188,,Spot,4,Image 1,2,53255,
274756,,Spot,4,Image 1,2,53256,
45612,,Spot,4,Image 1,2,53257,
132666,,Spot,4,Image 1,2,53258,
332203,,Spot,4,Image 1,2,53259,
65487,,Spot,4,Image 1,2,53260,
87707,,Spot,4,Image 1,2,53261,
151575,,Spot,4,Image 1,2,53262,
515799,,Spot,4,Image 1,2,53263,
57129,,Spot,4,Image 1,2,53264,
279739,,Spot,4,Image 1,2,53265,
77538,,Spot,4,Image 1,2,53266,
977129,,Spot,4,Image 1,2,53267,
11195,,Spot,4,Image 1,2,53268,
86094,,Spot,4,Image 1,2,53269,
71538,,Spot,4,Image 1,2,53270,
69010,,Spot,4,Image 1,2,53271,
566302,,Spot,4,Image 1,2,53272,
99065,,Spot,4,Image 1,2,53273,
814824,,Spot,4,Image 1,2,53274,
332317,,Spot,4,Image 1,2,53275,
154042,,Spot,4,Image 1,2,53276,
2162,,Spot,4,Image 1,2,53277,
479576,,Spot,4,Image 1,2,53278,
85327,,Spot,4,Image 1,2,53279,
232520,,Spot,4,Image 1,2,53280,
103779,,Spot,4,Image 1,2,53281,
56511,,Spot,4,Image 1,2,53282,
288518,,Spot,4,Image 1,2,53283,
260054,,Spot,4,Image 1,2,53284,
337124,,Spot,4,Image 1,2,53285,
228972,,Spot,4,Image 1,2,53286,
18457,,Spot,4,Image 1,2,53287,
276619,,Spot,4,Image 1,2,53288,
268187,,Spot,4,Image 1,2,53289,
232740,,Spot,4,Image 1,2,53290,
29653,,Spot,4,Image 1,2,53291,
1.88874e+06,,Spot,4,Image 1,2,53292,
229724,,Spot,4,Image 1,2,53293,
95078,,Spot,4,Image 1,2,53294,
