
Intensity Sum of Square Ch=6 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
5.54054e+09,,Spot,6,Image 1,1,53071,
5.06803e+09,,Spot,6,Image 1,1,53072,
2.11725e+10,,Spot,6,Image 1,1,53073,
4.35474e+10,,Spot,6,Image 1,1,53075,
1.69213e+10,,Spot,6,Image 1,1,53078,
1.76752e+10,,Spot,6,Image 1,1,53079,
2.03395e+10,,Spot,6,Image 1,1,53080,
1.32634e+10,,Spot,6,Image 1,1,53081,
3.49341e+10,,Spot,6,Image 1,1,53082,
2.7859e+10,,Spot,6,Image 1,1,53083,
3.70118e+10,,Spot,6,Image 1,1,53084,
1.98511e+10,,Spot,6,Image 1,1,53085,
2.41342e+10,,Spot,6,Image 1,1,53086,
2.57852e+10,,Spot,6,Image 1,1,53087,
1.26668e+10,,Spot,6,Image 1,1,53088,
2.33197e+10,,Spot,6,Image 1,1,53090,
1.05116e+10,,Spot,6,Image 1,1,53091,
1.10966e+10,,Spot,6,Image 1,1,53092,
2.07414e+10,,Spot,6,Image 1,1,53094,
6.60921e+09,,Spot,6,Image 1,1,53095,
9.18296e+09,,Spot,6,Image 1,1,53096,
1.7452e+10,,Spot,6,Image 1,1,53097,
1.21636e+10,,Spot,6,Image 1,1,53098,
1.65358e+10,,Spot,6,Image 1,1,53099,
1.59473e+10,,Spot,6,Image 1,1,53100,
1.32827e+10,,Spot,6,Image 1,1,53101,
1.57329e+10,,Spot,6,Image 1,1,53102,
1.72028e+10,,Spot,6,Image 1,1,53103,
1.44975e+10,,Spot,6,Image 1,1,53104,
2.14812e+10,,Spot,6,Image 1,1,53105,
1.5858e+10,,Spot,6,Image 1,1,53106,
1.11121e+10,,Spot,6,Image 1,1,53107,
2.3308e+10,,Spot,6,Image 1,1,53108,
1.86197e+10,,Spot,6,Image 1,1,53109,
2.32925e+10,,Spot,6,Image 1,1,53110,
1.53259e+10,,Spot,6,Image 1,1,53111,
2.41765e+10,,Spot,6,Image 1,1,53112,
3.29127e+10,,Spot,6,Image 1,1,53113,
1.29473e+10,,Spot,6,Image 1,1,53115,
1.48584e+10,,Spot,6,Image 1,1,53116,
9.15782e+09,,Spot,6,Image 1,1,53118,
1.33565e+10,,Spot,6,Image 1,1,53119,
7.37777e+09,,Spot,6,Image 1,1,53120,
9.55934e+09,,Spot,6,Image 1,1,53121,
6.44531e+09,,Spot,6,Image 1,1,53122,
6.67693e+09,,Spot,6,Image 1,1,53123,
4.62125e+09,,Spot,6,Image 1,1,53124,
7.90991e+09,,Spot,6,Image 1,1,53125,
9.3145e+09,,Spot,6,Image 1,1,53126,
6.1216e+09,,Spot,6,Image 1,1,53127,
1.16018e+10,,Spot,6,Image 1,1,53128,
6.66234e+09,,Spot,6,Image 1,1,53129,
1.2476e+10,,Spot,6,Image 1,1,53130,
3.61627e+10,,Spot,6,Image 1,1,53131,
1.91173e+10,,Spot,6,Image 1,1,53132,
1.69921e+10,,Spot,6,Image 1,1,53133,
2.21284e+10,,Spot,6,Image 1,1,53134,
1.89402e+10,,Spot,6,Image 1,1,53135,
1.62174e+10,,Spot,6,Image 1,1,53136,
1.76032e+10,,Spot,6,Image 1,1,53137,
1.39968e+10,,Spot,6,Image 1,1,53138,
1.83184e+10,,Spot,6,Image 1,1,53140,
2.03319e+10,,Spot,6,Image 1,1,53141,
2.16171e+10,,Spot,6,Image 1,1,53142,
2.13148e+10,,Spot,6,Image 1,1,53143,
9.28269e+09,,Spot,6,Image 1,1,53144,
2.08669e+10,,Spot,6,Image 1,1,53145,
2.20893e+10,,Spot,6,Image 1,1,53146,
2.1191e+10,,Spot,6,Image 1,1,53147,
1.1244e+10,,Spot,6,Image 1,1,53148,
1.03882e+10,,Spot,6,Image 1,1,53149,
1.8323e+10,,Spot,6,Image 1,1,53150,
2.40145e+10,,Spot,6,Image 1,1,53152,
1.75237e+10,,Spot,6,Image 1,1,53154,
2.37376e+10,,Spot,6,Image 1,1,53155,
2.4641e+10,,Spot,6,Image 1,1,53157,
8.26061e+09,,Spot,6,Image 1,1,53159,
2.91836e+10,,Spot,6,Image 1,1,53160,
7.50372e+07,,Spot,6,Image 1,1,53163,
2.51738e+07,,Spot,6,Image 1,1,53164,
1.98634e+10,,Spot,6,Image 1,1,53165,
9.20905e+07,,Spot,6,Image 1,1,53166,
1.04324e+09,,Spot,6,Image 1,1,53167,
1.03148e+10,,Spot,6,Image 1,1,53168,
1.12187e+10,,Spot,6,Image 1,1,53169,
9.02274e+09,,Spot,6,Image 1,1,53170,
7.47968e+09,,Spot,6,Image 1,1,53171,
1.56992e+08,,Spot,6,Image 1,1,53172,
8.88856e+07,,Spot,6,Image 1,1,53173,
6.29338e+07,,Spot,6,Image 1,1,53174,
1.83707e+08,,Spot,6,Image 1,1,53175,
2.3023e+10,,Spot,6,Image 1,1,53176,
8.79776e+09,,Spot,6,Image 1,1,53177,
7.277e+09,,Spot,6,Image 1,1,53179,
1.84754e+10,,Spot,6,Image 1,1,53180,
1.66185e+10,,Spot,6,Image 1,1,53181,
6.72031e+09,,Spot,6,Image 1,1,53182,
1.35145e+10,,Spot,6,Image 1,1,53183,
1.03258e+10,,Spot,6,Image 1,1,53184,
1.21369e+10,,Spot,6,Image 1,1,53185,
1.39583e+10,,Spot,6,Image 1,1,53186,
4.76579e+09,,Spot,6,Image 1,1,53187,
1.38905e+10,,Spot,6,Image 1,1,53188,
4.82519e+08,,Spot,6,Image 1,1,53189,
1.48689e+10,,Spot,6,Image 1,1,53190,
4.27753e+09,,Spot,6,Image 1,1,53191,
2.18358e+10,,Spot,6,Image 1,1,53192,
1.70095e+10,,Spot,6,Image 1,1,53193,
1.97767e+10,,Spot,6,Image 1,1,53194,
3.49547e+08,,Spot,6,Image 1,1,53195,
1.81415e+08,,Spot,6,Image 1,1,53196,
1.58477e+08,,Spot,6,Image 1,1,53197,
2.12131e+10,,Spot,6,Image 1,1,53198,
8.84596e+09,,Spot,6,Image 1,1,53199,
8.14363e+09,,Spot,6,Image 1,1,53200,
7.23848e+09,,Spot,6,Image 1,1,53201,
4.89793e+07,,Spot,6,Image 1,1,53203,
1.89495e+08,,Spot,6,Image 1,1,53204,
7.23087e+09,,Spot,6,Image 1,1,53205,
6.69607e+09,,Spot,6,Image 1,1,53206,
1.0222e+10,,Spot,6,Image 1,1,53207,
7.84077e+09,,Spot,6,Image 1,1,53208,
4.57818e+09,,Spot,6,Image 1,1,53209,
2.60752e+10,,Spot,6,Image 1,1,53210,
9.54923e+08,,Spot,6,Image 1,1,53211,
3.85225e+07,,Spot,6,Image 1,1,53212,
1.77137e+08,,Spot,6,Image 1,1,53213,
1.77253e+08,,Spot,6,Image 1,1,53214,
2.58466e+08,,Spot,6,Image 1,1,53215,
5.26224e+08,,Spot,6,Image 1,1,53216,
7.86945e+09,,Spot,6,Image 1,1,53217,
1.02772e+10,,Spot,6,Image 1,1,53218,
9.34296e+09,,Spot,6,Image 1,1,53219,
6.05877e+09,,Spot,6,Image 1,1,53220,
9.65622e+09,,Spot,6,Image 1,1,53221,
8.16432e+09,,Spot,6,Image 1,1,53222,
8.13102e+09,,Spot,6,Image 1,1,53225,
1.81921e+09,,Spot,6,Image 1,1,53226,
8.71083e+09,,Spot,6,Image 1,1,53227,
1.26171e+10,,Spot,6,Image 1,1,53228,
9.2391e+09,,Spot,6,Image 1,1,53229,
1.91725e+10,,Spot,6,Image 1,1,53230,
2.04817e+10,,Spot,6,Image 1,1,53231,
4.08378e+09,,Spot,6,Image 1,1,53232,
9.59423e+09,,Spot,6,Image 1,1,53233,
1.61634e+10,,Spot,6,Image 1,1,53234,
1.47489e+10,,Spot,6,Image 1,1,53235,
1.74593e+09,,Spot,6,Image 1,2,53236,
7.11549e+09,,Spot,6,Image 1,2,53237,
1.74736e+10,,Spot,6,Image 1,2,53238,
1.24954e+10,,Spot,6,Image 1,2,53239,
9.73267e+09,,Spot,6,Image 1,2,53240,
6.52344e+09,,Spot,6,Image 1,2,53241,
2.03621e+10,,Spot,6,Image 1,2,53242,
4.56321e+09,,Spot,6,Image 1,2,53243,
2.43802e+10,,Spot,6,Image 1,2,53244,
7.46492e+09,,Spot,6,Image 1,2,53245,
8.19632e+09,,Spot,6,Image 1,2,53246,
1.23465e+10,,Spot,6,Image 1,2,53247,
2.14109e+10,,Spot,6,Image 1,2,53248,
1.68931e+10,,Spot,6,Image 1,2,53249,
2.08591e+10,,Spot,6,Image 1,2,53250,
1.96862e+10,,Spot,6,Image 1,2,53251,
1.80439e+10,,Spot,6,Image 1,2,53252,
7.56803e+09,,Spot,6,Image 1,2,53253,
1.02227e+10,,Spot,6,Image 1,2,53254,
1.4083e+10,,Spot,6,Image 1,2,53255,
1.36854e+10,,Spot,6,Image 1,2,53256,
1.14124e+10,,Spot,6,Image 1,2,53257,
1.34047e+10,,Spot,6,Image 1,2,53258,
1.42894e+10,,Spot,6,Image 1,2,53259,
2.14732e+10,,Spot,6,Image 1,2,53260,
2.10234e+10,,Spot,6,Image 1,2,53261,
2.6791e+10,,Spot,6,Image 1,2,53262,
1.48423e+10,,Spot,6,Image 1,2,53263,
2.17599e+10,,Spot,6,Image 1,2,53264,
4.82767e+09,,Spot,6,Image 1,2,53265,
7.01568e+09,,Spot,6,Image 1,2,53266,
2.94174e+09,,Spot,6,Image 1,2,53267,
8.01964e+09,,Spot,6,Image 1,2,53268,
4.44849e+09,,Spot,6,Image 1,2,53269,
3.31167e+10,,Spot,6,Image 1,2,53270,
3.35354e+10,,Spot,6,Image 1,2,53271,
1.66295e+10,,Spot,6,Image 1,2,53272,
8.9571e+09,,Spot,6,Image 1,2,53273,
1.4028e+10,,Spot,6,Image 1,2,53274,
5.98333e+09,,Spot,6,Image 1,2,53275,
4.24724e+09,,Spot,6,Image 1,2,53276,
2.75097e+10,,Spot,6,Image 1,2,53277,
1.9002e+09,,Spot,6,Image 1,2,53278,
5.53832e+09,,Spot,6,Image 1,2,53279,
3.10613e+10,,Spot,6,Image 1,2,53280,
3.18296e+10,,Spot,6,Image 1,2,53281,
1.65762e+10,,Spot,6,Image 1,2,53282,
2.79544e+10,,Spot,6,Image 1,2,53283,
1.24422e+10,,Spot,6,Image 1,2,53284,
6.60439e+09,,Spot,6,Image 1,2,53285,
9.3273e+09,,Spot,6,Image 1,2,53286,
1.6209e+10,,Spot,6,Image 1,2,53287,
3.95161e+09,,Spot,6,Image 1,2,53288,
1.41369e+10,,Spot,6,Image 1,2,53289,
1.12541e+10,,Spot,6,Image 1,2,53290,
1.43296e+10,,Spot,6,Image 1,2,53291,
3.29133e+10,,Spot,6,Image 1,2,53292,
6.77336e+09,,Spot,6,Image 1,2,53293,
9.66484e+09,,Spot,6,Image 1,2,53294,
1.20583e+10,,Spot,6,Image 1,2,53295,
1.39469e+10,,Spot,6,Image 1,2,53296,
1.9169e+10,,Spot,6,Image 1,2,53297,
1.18812e+10,,Spot,6,Image 1,2,53298,
2.14424e+10,,Spot,6,Image 1,2,53299,
1.8115e+10,,Spot,6,Image 1,2,53300,
2.43754e+10,,Spot,6,Image 1,2,53301,
5.77966e+09,,Spot,6,Image 1,2,53302,
1.4182e+10,,Spot,6,Image 1,2,53303,
1.27884e+10,,Spot,6,Image 1,2,53304,
2.2531e+10,,Spot,6,Image 1,2,53305,
1.69959e+10,,Spot,6,Image 1,2,53306,
7.41189e+09,,Spot,6,Image 1,2,53307,
9.91034e+09,,Spot,6,Image 1,2,53308,
3.23159e+10,,Spot,6,Image 1,2,53309,
2.96992e+10,,Spot,6,Image 1,2,53310,
7.19265e+09,,Spot,6,Image 1,2,53311,
8.08077e+09,,Spot,6,Image 1,2,53312,
4.45922e+09,,Spot,6,Image 1,2,53313,
6.21032e+09,,Spot,6,Image 1,2,53314,
4.7716e+09,,Spot,6,Image 1,2,53315,
4.66907e+09,,Spot,6,Image 1,2,53316,
1.8111e+10,,Spot,6,Image 1,2,53317,
1.07707e+10,,Spot,6,Image 1,2,53318,
1.05708e+10,,Spot,6,Image 1,2,53319,
1.5551e+10,,Spot,6,Image 1,2,53320,
1.33416e+10,,Spot,6,Image 1,2,53321,
9.00294e+09,,Spot,6,Image 1,2,53322,
1.59902e+10,,Spot,6,Image 1,2,53323,
2.44729e+10,,Spot,6,Image 1,2,53324,
1.05081e+10,,Spot,6,Image 1,2,53325,
1.11693e+10,,Spot,6,Image 1,2,53326,
