
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
121.983,um,Spot,Distance from Origin,1,53056,
123.536,um,Spot,Distance from Origin,1,53057,
126.833,um,Spot,Distance from Origin,1,53058,
137.021,um,Spot,Distance from Origin,1,53059,
130.704,um,Spot,Distance from Origin,1,53060,
115.058,um,Spot,Distance from Origin,1,53061,
134.794,um,Spot,Distance from Origin,1,53062,
112.693,um,Spot,Distance from Origin,1,53063,
102.779,um,Spot,Distance from Origin,1,53065,
97.2787,um,Spot,Distance from Origin,1,53066,
87.6706,um,Spot,Distance from Origin,1,53067,
146.964,um,Spot,Distance from Origin,1,53068,
146.656,um,Spot,Distance from Origin,1,53069,
148.086,um,Spot,Distance from Origin,1,53071,
144.483,um,Spot,Distance from Origin,1,53072,
107.078,um,Spot,Distance from Origin,1,53073,
106.455,um,Spot,Distance from Origin,1,53075,
96.9519,um,Spot,Distance from Origin,1,53078,
107.788,um,Spot,Distance from Origin,1,53079,
111.579,um,Spot,Distance from Origin,1,53080,
126.12,um,Spot,Distance from Origin,1,53081,
97.998,um,Spot,Distance from Origin,1,53082,
101.767,um,Spot,Distance from Origin,1,53083,
100.694,um,Spot,Distance from Origin,1,53084,
99.8289,um,Spot,Distance from Origin,1,53085,
97.6586,um,Spot,Distance from Origin,1,53086,
90.4057,um,Spot,Distance from Origin,1,53087,
83.0627,um,Spot,Distance from Origin,1,53088,
116.176,um,Spot,Distance from Origin,1,53090,
105.86,um,Spot,Distance from Origin,1,53091,
97.2026,um,Spot,Distance from Origin,1,53092,
118.704,um,Spot,Distance from Origin,1,53094,
79.984,um,Spot,Distance from Origin,1,53095,
76.7755,um,Spot,Distance from Origin,1,53096,
92.6718,um,Spot,Distance from Origin,1,53097,
98.45,um,Spot,Distance from Origin,1,53098,
94.5871,um,Spot,Distance from Origin,1,53099,
84.3611,um,Spot,Distance from Origin,1,53100,
84.0461,um,Spot,Distance from Origin,1,53101,
78.3572,um,Spot,Distance from Origin,1,53102,
74.0812,um,Spot,Distance from Origin,1,53103,
76.6796,um,Spot,Distance from Origin,1,53104,
83.9534,um,Spot,Distance from Origin,1,53105,
69.0887,um,Spot,Distance from Origin,1,53106,
68.8911,um,Spot,Distance from Origin,1,53107,
94.5136,um,Spot,Distance from Origin,1,53108,
89.9599,um,Spot,Distance from Origin,1,53109,
131.254,um,Spot,Distance from Origin,1,53110,
134.332,um,Spot,Distance from Origin,1,53111,
139.574,um,Spot,Distance from Origin,1,53112,
139.322,um,Spot,Distance from Origin,1,53113,
148.016,um,Spot,Distance from Origin,1,53115,
149.082,um,Spot,Distance from Origin,1,53116,
146.404,um,Spot,Distance from Origin,1,53118,
151.125,um,Spot,Distance from Origin,1,53119,
154.371,um,Spot,Distance from Origin,1,53120,
146.093,um,Spot,Distance from Origin,1,53121,
154.534,um,Spot,Distance from Origin,1,53122,
165.083,um,Spot,Distance from Origin,1,53123,
154.697,um,Spot,Distance from Origin,1,53124,
157.66,um,Spot,Distance from Origin,1,53125,
152.238,um,Spot,Distance from Origin,1,53126,
141.37,um,Spot,Distance from Origin,1,53127,
123.084,um,Spot,Distance from Origin,1,53128,
111.843,um,Spot,Distance from Origin,1,53129,
115.646,um,Spot,Distance from Origin,1,53130,
102.799,um,Spot,Distance from Origin,1,53131,
95.511,um,Spot,Distance from Origin,1,53132,
91.7174,um,Spot,Distance from Origin,1,53133,
76.5561,um,Spot,Distance from Origin,1,53134,
79.6449,um,Spot,Distance from Origin,1,53135,
73.3856,um,Spot,Distance from Origin,1,53136,
74.6038,um,Spot,Distance from Origin,1,53137,
65.9324,um,Spot,Distance from Origin,1,53138,
