
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,1,53080,
5,5,5,um,Spot,Diameter,1,53081,
5,5,5,um,Spot,Diameter,1,53082,
5,5,5,um,Spot,Diameter,1,53083,
5,5,5,um,Spot,Diameter,1,53084,
5,5,5,um,Spot,Diameter,1,53085,
5,5,5,um,Spot,Diameter,1,53086,
5,5,5,um,Spot,Diameter,1,53087,
5,5,5,um,Spot,Diameter,1,53088,
5,5,5,um,Spot,Diameter,1,53090,
5,5,5,um,Spot,Diameter,1,53091,
5,5,5,um,Spot,Diameter,1,53092,
5,5,5,um,Spot,Diameter,1,53094,
5,5,5,um,Spot,Diameter,1,53095,
5,5,5,um,Spot,Diameter,1,53096,
5,5,5,um,Spot,Diameter,1,53097,
5,5,5,um,Spot,Diameter,1,53098,
5,5,5,um,Spot,Diameter,1,53099,
5,5,5,um,Spot,Diameter,1,53100,
5,5,5,um,Spot,Diameter,1,53101,
5,5,5,um,Spot,Diameter,1,53102,
5,5,5,um,Spot,Diameter,1,53103,
5,5,5,um,Spot,Diameter,1,53104,
5,5,5,um,Spot,Diameter,1,53105,
5,5,5,um,Spot,Diameter,1,53106,
5,5,5,um,Spot,Diameter,1,53107,
5,5,5,um,Spot,Diameter,1,53108,
5,5,5,um,Spot,Diameter,1,53109,
5,5,5,um,Spot,Diameter,1,53110,
5,5,5,um,Spot,Diameter,1,53111,
5,5,5,um,Spot,Diameter,1,53112,
5,5,5,um,Spot,Diameter,1,53113,
5,5,5,um,Spot,Diameter,1,53115,
5,5,5,um,Spot,Diameter,1,53116,
5,5,5,um,Spot,Diameter,1,53118,
5,5,5,um,Spot,Diameter,1,53119,
5,5,5,um,Spot,Diameter,1,53120,
5,5,5,um,Spot,Diameter,1,53121,
5,5,5,um,Spot,Diameter,1,53122,
5,5,5,um,Spot,Diameter,1,53123,
5,5,5,um,Spot,Diameter,1,53124,
5,5,5,um,Spot,Diameter,1,53125,
5,5,5,um,Spot,Diameter,1,53126,
5,5,5,um,Spot,Diameter,1,53127,
5,5,5,um,Spot,Diameter,1,53128,
5,5,5,um,Spot,Diameter,1,53129,
5,5,5,um,Spot,Diameter,1,53130,
5,5,5,um,Spot,Diameter,1,53131,
5,5,5,um,Spot,Diameter,1,53132,
5,5,5,um,Spot,Diameter,1,53133,
5,5,5,um,Spot,Diameter,1,53134,
5,5,5,um,Spot,Diameter,1,53135,
5,5,5,um,Spot,Diameter,1,53136,
5,5,5,um,Spot,Diameter,1,53137,
5,5,5,um,Spot,Diameter,1,53138,
5,5,5,um,Spot,Diameter,1,53140,
5,5,5,um,Spot,Diameter,1,53141,
5,5,5,um,Spot,Diameter,1,53142,
